Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL00088995,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.440154440154,0.793103448276,0.449864498645,0.212261041529,0.506329113924,0.640522875817,0.800041832253,0.563584637269,0.0828335832084,1.0,0.811111111111,0.449865410498,0.897283563128,0.173469387755,0.681818181818,0.806900809439,0.770919067215,0.586206896552,0.4046692607,0.433292337308,0.283348666053,0.865233023849,1.0,0.797911963481,0.27854959711,0.167007498296,0.532647348112,0.377303681128,0.485485906605,0.98615916955,0.525291828794,0.952160787046,0.905325443787,1.0,0.321218147549,1.0,0.274190623016,0.875624133148,0.421582184922,0.254001537709,0.803542673108,0.622526636225,0.973607038123,0.543875199433,0.768521931441,0.893880208333,0.63807728558,0.682363162467,0.63801079414,0.555220883534,0.324195470799,0.902756892231,0.898641588297,0.910049191848,0.828571428571,0.917660550459,0.593301435407,0.86883475339,0.795138888889,0.72721822542,0.655172413793,0.671568627451,0.944444444444,0.866279069767,0.363732687505,0.958035714286,0.739130434783,0.444309927361,0.390875809631,0.864496260449,0.830254074797,0.530612244898,0.799516908213,0.518604651163,1.0,0.297396458054,0.54328358209,0.348954578226,0.437037037037,0.339805825243,0.485356205546,0.720812182741,0.750585480094,0.162921348315,0.272171058242,0.396942729064,0.962703962704,0.917668235946,0.479589632829,1.0,0.637168141593,0.275317635101,0.582938388626,0.686460807601,0.878727634195,0.912470023981,0.174362508615,0.696446700508,0.530864197531,0.759722981593,0.423089378238,0.869936034115,0.444377900883,0.744750254842,1.0,0.990675990676,0.181911889006,0.386826347305,0.871485943775,0.60243902439,0.102088167053,0.431245810591,0.573469387755,0.131816026553,0.813356164384,0.352085242896,0.816143497758,0.363273355299,0.309381237525,0.189797449362,0.824449458392,0.924406047516,0.537466717383,0.463878326996,0.554619364375,1.0
1-SPFN,0.438461538462,0.793103448276,0.452933151432,0.226282501757,0.526315789474,0.649006622517,0.798205342237,0.573371924747,0.082156133829,1.0,0.812917594655,0.447981236388,0.870303703883,0.188470066519,0.645161290323,0.795549844447,0.765667574932,0.591304347826,0.458149779736,0.437172916105,0.313965341488,0.846607052201,1.0,0.775946368963,0.292700729927,0.198220064725,0.521327014218,0.340796180399,0.487743026205,0.98275862069,0.548780487805,0.947858433862,0.889534883721,1.0,0.319148308709,1.0,0.250538614518,0.871965747039,0.426174981923,0.248904109589,0.812703583062,0.625382262997,0.97503671072,0.533101650738,0.768380320619,0.883526383526,0.671404958678,0.64313789715,0.631197559115,0.551689736875,0.32400238237,0.889382716049,0.899581589958,0.903068340307,0.828571428571,0.913053400274,0.590476190476,0.864942357087,0.809187279152,0.719454329775,0.63687150838,0.638694638695,0.938775510204,0.87262079063,0.361312633913,0.957181088314,0.727626459144,0.460245798846,0.355897435897,0.875278396437,0.71951388149,0.574671445639,0.788095238095,0.515011547344,1.0,0.308610338263,0.533724340176,0.356706675089,0.424460431655,0.352348993289,0.487973231358,0.708818635607,0.744051073709,0.169590643275,0.289961389961,0.357900384512,0.962703962704,0.916602124364,0.472446808511,1.0,0.628428927681,0.274796253086,0.588516746411,0.697225572979,0.872655478776,0.909199522103,0.186853766617,0.681231380338,0.5375,0.719642302248,0.439012096774,0.866702071163,0.435573818609,0.709871745045,1.0,0.990675990676,0.187298352861,0.433789954338,0.850980392157,0.589030206677,0.10401891253,0.434407253786,0.568442346595,0.139768728004,0.80372250423,0.366400381543,0.816601233875,0.364044778318,0.324720670391,0.187875514751,0.797680666956,0.920430107527,0.539931218953,0.471953578337,0.571080669711,1.0
SP-Score,0.43930798930799997,0.793103448276,0.451398825039,0.219271771643,0.516322451699,0.644764749167,0.799123587245,0.568478281008,0.0824948585187,1.0,0.812014352883,0.448923323443,0.883793633505,0.180969727137,0.66348973607,0.801225326943,0.768293321074,0.588755622189,0.431409520218,0.435232626706,0.298657003771,0.855920038025,1.0,0.786929166222,0.285625163519,0.18261378151,0.526987181165,0.359049930763,0.486614466405,0.98445889512,0.537036158299,0.950009610454,0.897430163754,1.0,0.320183228129,1.0,0.262364618767,0.873794940094,0.423878583423,0.251452823649,0.808123128085,0.623954449611,0.974321874421,0.538488425086,0.76845112603,0.88870329593,0.654741122129,0.662750529809,0.634604176628,0.553455310205,0.324098926585,0.89606980414,0.899111589127,0.906558766078,0.828571428571,0.915356975366,0.591888812941,0.866888555239,0.80216308402,0.723336277597,0.646021961086,0.655131633073,0.941609977324,0.869449930199,0.362522660709,0.9576084013,0.733378446963,0.452277863104,0.373386622764,0.869887328443,0.774883978143,0.552641845269,0.793806073154,0.516808099253,1.0,0.303003398159,0.538503961133,0.352830626658,0.430748734346,0.346077409266,0.486664718452,0.714815409174,0.747318276901,0.166255995795,0.281066224102,0.377421556788,0.962703962704,0.917135180155,0.47601822067,1.0,0.632798534637,0.275056944093,0.585727567519,0.69184319029,0.875691556485,0.910834773042,0.180608137616,0.688839040423,0.534182098765,0.73968264192,0.431050737506,0.868319052639,0.439975859746,0.727310999943,1.0,0.990675990676,0.184605120933,0.410308150822,0.861233167966,0.595734615534,0.103053539791,0.432826532188,0.570955867175,0.135792377278,0.808539334307,0.35924281222,0.816372365817,0.363659066809,0.317050953958,0.188836482056,0.811065062674,0.922418077522,0.538698968168,0.467915952666,0.562850017043,1.0
TC,0.0,0.583333333333,0.126315789474,0.0294117647059,0.221014492754,0.118421052632,0.307692307692,0.0839694656489,0.0,1.0,0.685534591195,0.0294117647059,0.34,0.0,0.467741935484,0.336283185841,0.638461538462,0.292682926829,0.285714285714,0.0,0.0,0.5,1.0,0.0,0.0402684563758,0.00849858356941,0.056338028169,0.0,0.12,0.75,0.31914893617,0.621428571429,0.76404494382,1.0,0.0,1.0,0.0,0.447368421053,0.0289855072464,0.00518134715026,0.495412844037,0.0845070422535,0.854166666667,0.1875,0.40127388535,0.674107142857,0.247863247863,0.117647058824,0.191082802548,0.174193548387,0.0,0.717171717172,0.842592592593,0.747422680412,0.737704918033,0.377777777778,0.472222222222,0.506302521008,0.25,0.489795918367,0.415384615385,0.46875,0.874125874126,0.705882352941,0.0,0.844155844156,0.574712643678,0.115606936416,0.0431654676259,0.615384615385,0.128571428571,0.20316027088,0.618055555556,0.245161290323,1.0,0.0,0.213114754098,0.0940438871473,0.22641509434,0.0,0.046783625731,0.571428571429,0.485294117647,0.0,0.0,0.0,0.944055944056,0.557692307692,0.0,1.0,0.272108843537,0.0519480519481,0.38961038961,0.31914893617,0.767313019391,0.724137931034,0.0960698689956,0.357142857143,0.152941176471,0.136363636364,0.0,0.658536585366,0.102739726027,0.270676691729,1.0,0.974683544304,0.0,0.0585365853659,0.76404494382,0.138888888889,0.0,0.0,0.19018404908,0.0,0.706467661692,0.0,0.492753623188,0.004914004914,0.0727272727273,0.0,0.163461538462,0.730158730159,0.225806451613,0.0,0.0519480519481,1.0
Modeler,0.44015444015444016,0.793103448276,0.449864498645,0.212261041529,0.506329113924,0.640522875817,0.800041832253,0.563584637269,0.0828335832084,1.0,0.811111111111,0.449865410498,0.897283563128,0.173469387755,0.681818181818,0.806900809439,0.770919067215,0.586206896552,0.4046692607,0.433292337308,0.283348666053,0.865233023849,1.0,0.797911963481,0.27854959711,0.167007498296,0.532647348112,0.377303681128,0.485485906605,0.98615916955,0.525291828794,0.952160787046,0.905325443787,1.0,0.321218147549,1.0,0.274190623016,0.875624133148,0.421582184922,0.254001537709,0.803542673108,0.622526636225,0.973607038123,0.543875199433,0.768521931441,0.893880208333,0.63807728558,0.682363162467,0.63801079414,0.555220883534,0.324195470799,0.902756892231,0.898641588297,0.910049191848,0.828571428571,0.917660550459,0.593301435407,0.86883475339,0.795138888889,0.72721822542,0.655172413793,0.671568627451,0.944444444444,0.866279069767,0.363732687505,0.958035714286,0.739130434783,0.444309927361,0.390875809631,0.864496260449,0.830254074797,0.530612244898,0.799516908213,0.518604651163,1.0,0.297396458054,0.54328358209,0.348954578226,0.437037037037,0.339805825243,0.485356205546,0.720812182741,0.750585480094,0.162921348315,0.272171058242,0.396942729064,0.962703962704,0.917668235946,0.479589632829,1.0,0.637168141593,0.275317635101,0.582938388626,0.686460807601,0.878727634195,0.912470023981,0.174362508615,0.696446700508,0.530864197531,0.759722981593,0.423089378238,0.869936034115,0.444377900883,0.744750254842,1.0,0.990675990676,0.181911889006,0.386826347305,0.871485943775,0.60243902439,0.102088167053,0.431245810591,0.573469387755,0.131816026553,0.813356164384,0.352085242896,0.816143497758,0.363273355299,0.309381237525,0.189797449362,0.824449458392,0.924406047516,0.537466717383,0.463878326996,0.554619364375,1.0
Compression,0.9880239520958084,1.0,0.936893203883,0.826347305389,0.943708609272,0.975308641975,1.03846153846,0.944055944056,0.854938271605,1.0,1.00617283951,0.925925925926,0.990740740741,0.915966386555,1.07874015748,1.01639344262,1.00711743772,0.977777777778,0.823129251701,0.813725490196,0.760416666667,1.125,1.0,1.03571428571,0.846405228758,0.827027027027,0.894736842105,0.969230769231,1.0,1.05,0.950819672131,1.0,1.03333333333,1.0,0.885245901639,1.0,0.687719298246,1.0,0.913043478261,0.91452991453,0.982142857143,0.96,1.0,0.944736842105,0.983146067416,1.00816326531,0.897435897436,1.05555555556,0.989189189189,0.905263157895,0.965909090909,1.0303030303,0.993736951983,0.995260663507,1.0,0.981818181818,1.01234567901,1.00819672131,0.953703703704,1.00961538462,1.01449275362,1.02222222222,1.00684931507,0.992,0.961165048544,1.0,1.02247191011,0.888372093023,0.986111111111,0.972709551657,1.1,0.921108742004,1.00657894737,1.00636942675,1.0,0.748936170213,1.01639344262,0.924924924925,1.01515151515,0.944881889764,0.929824561404,1.0,1.02142857143,0.952941176471,0.79,0.840336134454,1.0,0.977272727273,0.966019417476,1.0,1.01973684211,0.909297052154,0.987951807229,0.929203539823,1.0081300813,1.0,0.833333333333,1.04285714286,0.907216494845,1.0,0.867768595041,1.00465116279,1.03401360544,0.971098265896,1.0,1.0,0.720207253886,0.784688995215,1.03333333333,0.85,0.935323383085,0.837398373984,0.988235294118,0.833333333333,1.00975609756,0.906137184116,0.988764044944,0.860730593607,0.867924528302,0.824175824176,0.939655172414,1.0,0.939393939394,0.96943231441,0.83950617284,1.0
Average Pairwise P-Distance,0.8142980189489999,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.721399903542,0.888737204087,0.516129032258,0.660856916819,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.833244673249,0.854308558811,0.815129818058,0.804679802956,0.792347415101,0.654724999866,0.619511754885,0.770731707317,0.839139411951,0.236842105263,0.869192047687,0.809937360475,0.808553896499,0.848710221668,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.810459788512,0.809847374847,0.801628915955,0.912852664577,0.833805371936,0.86218096979,0.622377622378,0.577125718084,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.896103896104,0.918918918919,0.774193548387,0.936363636364,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,0.945205479452,1.0,0.934579439252,1.0,0.829545454545,0.834645669291,0.855421686747,0.878048780488,0.942857142857,0.302631578947,0.991304347826,0.956204379562,0.941176470588,0.970297029703,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.936507936508,0.923076923077,0.883333333333,0.945454545455,0.929166666667,1.0,0.678321678322,0.827751196172,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,7.0,4.0,3.0,13.0,46.0,4.0,3.0,17.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,18.0,53.0,7.0,29.0,3.0,28.0,4.0,5.0,27.0,3.0,24.0,30.0,29.0,18.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,6.0,3.0,8.0,11.0,5.0,166.0,4.0,4.0,3.0,3.0,16.0,4.0,11.0,3.0,4.0,29.0,6.0,6.0,3.0,28.0,82.0,3.0,18.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,13.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,13.0,51.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,324.0,32.0,162.0,108.0,108.0,119.0,127.0,122.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,171.0,65.0,151.0,20.0,122.0,142.0,90.0,41.0,366.0,76.0,285.0,152.0,138.0,234.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,78.0,89.0,215.0,144.0,513.0,70.0,469.0,152.0,157.0,125.0,235.0,61.0,333.0,66.0,127.0,171.0,43.0,140.0,85.0,500.0,119.0,145.0,264.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,121.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,455.0,116.0,64.0,99.0,229.0,162.0,46.0
