Statistics,AL00047241-Small,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL10089447-Small,AL00051735,AL00057282,AL00055186,AL00054403,AL00050155,AL00050715,AL00102031,AL00048098,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL00055594,AL10051350,AL00053335,AL00052150,AL00050692,AL10050412,AL00050815-Small,AL00052086,AL10089447,AL20089447,AL00050847,AL00101215,AL10052799-Small,AL00088995,AL10054593-Small,AL00051366,AL00089048,AL00050684,AL00047241,AL10050815,AL00049879,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL10051350-Small,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL10053335-Small,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00051366-Small,AL00047861,AL00051984,AL00052141,AL10053473-Small,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL10050155-Small,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL00050815,AL10050712,AL10050335,AL10054446,AL00051395,AL10054592,AL00089623,AL00051352,AL10050815-Small,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050155-Small,AL00050464,AL10051735-Small,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL00050847-Small,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00051395-Small,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL10054592-Small,AL00052821,AL00057492,AL10050412-Small
Estimated Length,147.0,167.0,60.0,198.0,148.0,403.0,163.0,26.0,143.0,20.0,291.0,32.0,162.0,105.0,111.0,108.0,137.0,122.0,287.0,52.0,130.0,285.0,89.0,84.0,60.0,306.0,509.0,171.0,73.0,163.0,151.0,20.0,121.0,142.0,93.0,26.0,41.0,538.0,369.0,76.0,230.0,155.0,142.0,249.0,110.0,71.0,48.0,373.0,387.0,248.0,117.0,41.0,221.0,195.0,174.0,46.0,104.0,486.0,212.0,75.0,55.0,83.0,494.0,50.0,100.0,105.0,69.0,47.0,146.0,124.0,207.0,379.0,78.0,88.0,210.0,32.0,142.0,497.0,449.0,154.0,227.0,108.0,125.0,210.0,62.0,358.0,74.0,145.0,164.0,43.0,141.0,91.0,506.0,138.0,145.0,260.0,136.0,204.0,22.0,179.0,465.0,82.0,105.0,369.0,88.0,375.0,74.0,88.0,50.0,99.0,118.0,69.0,216.0,152.0,188.0,185.0,79.0,458.0,206.0,185.0,139.0,38.0,196.0,119.0,226.0,193.0,206.0,282.0,90.0,418.0,236.0,508.0,516.0,126.0,64.0,93.0,229.0,96.0,160.0,46.0,72.0
Maximum Ungapped Length,144.0,165.0,60.0,191.0,129.0,280.0,153.0,26.0,126.0,20.0,255.0,32.0,159.0,97.0,93.0,101.0,127.0,117.0,281.0,44.0,119.0,226.0,71.0,84.0,45.0,250.0,448.0,142.0,62.0,147.0,149.0,20.0,110.0,135.0,89.0,26.0,41.0,350.0,299.0,76.0,185.0,144.0,119.0,206.0,107.0,71.0,48.0,337.0,302.0,235.0,104.0,33.0,173.0,155.0,160.0,45.0,98.0,468.0,204.0,73.0,51.0,76.0,472.0,50.0,97.0,104.0,69.0,45.0,145.0,119.0,193.0,299.0,77.0,87.0,191.0,32.0,136.0,484.0,428.0,149.0,155.0,93.0,125.0,167.0,60.0,303.0,63.0,116.0,147.0,43.0,137.0,74.0,335.0,92.0,145.0,253.0,119.0,193.0,22.0,151.0,360.0,81.0,96.0,366.0,88.0,299.0,70.0,86.0,50.0,93.0,104.0,69.0,204.0,145.0,154.0,185.0,79.0,255.0,158.0,178.0,135.0,34.0,180.0,102.0,164.0,166.0,205.0,243.0,88.0,350.0,225.0,335.0,366.0,93.0,64.0,90.0,222.0,92.0,125.0,46.0,62.0
Sequence Length Heterogeneity,0.0688170016896,1.34102718446,0.152507618277,0.271207638478,0.110341115921,0.111641298133,0.142749867157,0.0157856011585,0.126146246741,0.0,0.345332632711,0.0183285799743,0.0259067428483,0.114388708133,0.0560347322844,0.0714285714286,0.0139681516739,0.0205951790499,0.075417109506,0.0661437827766,0.19133313259,0.141421926379,0.0979664128145,0.0,0.0592557157962,0.188423377013,0.343853028363,0.221203182751,0.208538172695,0.0428145556516,0.178453719568,0.0,0.120983844746,0.0215645487294,0.0280898876404,0.0172005229038,0.0,0.172177976705,0.107666613371,0.0,0.270511947043,0.0370185597589,0.0505691087237,0.338455642865,0.117180944039,0.0467297920966,0.0450051437389,0.0816495231461,0.080223503263,0.0540988149946,0.0779759380423,0.0359305620747,0.360571590374,0.133166257766,0.141120222239,0.101278918578,0.0115703410105,0.250946305383,0.0244592445813,0.125092558324,0.0631811819517,0.0352766841475,0.146784389009,0.12992780096,0.0584945017752,0.15656930603,0.0798924278865,0.215349259352,0.0234328931461,0.00814831581069,0.143500751892,0.150208590648,0.0144137515133,0.0,0.0839186935906,0.00736569563736,0.435104921973,0.0481907121133,0.207580242632,0.031460626752,0.0521477662494,0.0668827666391,0.0,0.125570128386,0.0254237288136,0.289963498625,0.166666666667,0.0461574358827,0.0386557279387,0.0377852033776,0.0844432381781,0.118628301042,0.121446621461,0.170543591959,0.00807482893972,0.0355522343441,0.0539291857441,0.0890729939548,0.0,0.0938512566285,0.123028896216,0.0793120233334,0.0335119795208,0.0535758375611,0.0303218716521,0.419534103076,0.0271810025183,0.119238424864,0.0876671082321,0.0780344808179,0.124709221779,0.296667377273,0.0293873196326,0.0767709361251,0.118214912303,0.0,0.0697470123853,0.151299270192,0.0973267835996,0.0324354083814,0.0264110704603,0.149666295471,0.122272061064,0.0964554211567,0.0886285451032,0.300658669222,0.0204113731532,0.147046634422,0.124247165619,0.172076634182,0.221967410333,0.128385624364,0.23911700729,0.0588996217641,0.0163935803014,0.0858301617396,0.733316591137,0.186328947382,0.0843326280554,0.0111111111111,0.250140252465
Gappiness Percentage,0.0810810810811,0.553892215569,0.116666666667,0.252427184466,0.310379241517,0.136865342163,0.157407407407,0.0079185520362,0.245532245532,0.0,0.453262786596,0.015625,0.0411522633745,0.214387464387,0.222423510467,0.224789915966,0.0157480314961,0.0935390549662,0.0771055753262,0.1,0.30612244898,0.392453951277,0.379464285714,0.0,0.406390977444,0.378104575163,0.43018018018,0.379467186485,0.40435413643,0.174319727891,0.172185430464,0.0,0.20218579235,0.0965794768612,0.025,0.00961538461538,0.0,0.425114155251,0.395567698846,0.0,0.595614035088,0.0892543859649,0.199650174913,0.479344729345,0.137755102041,0.0826666666667,0.0277777777778,0.208646616541,0.19823434992,0.117006802721,0.193732193732,0.161375661376,0.393243243243,0.376518218623,0.223011363636,0.252380952381,0.015873015873,0.221294363257,0.0758293838863,0.142222222222,0.212121212121,0.0864197530864,0.151024590164,0.310588235294,0.205026455026,0.162087912088,0.0772946859903,0.285185185185,0.0325342465753,0.058,0.227184466019,0.360557138335,0.025641025641,0.0224719101124,0.260465116279,0.00173611111111,0.36047979798,0.0810916179337,0.249466950959,0.0526315789474,0.0424628450106,0.182700794351,0.0,0.410106382979,0.0368852459016,0.335244335244,0.181818181818,0.127952755906,0.186731195806,0.046511627907,0.114285714286,0.211764705882,0.423857142857,0.515576962492,0.00919540229885,0.0799663299663,0.182336182336,0.179915048544,0.0,0.0690789473684,0.27059712774,0.0923694779116,0.189380530973,0.0460704607046,0.0295454545455,0.459677419355,0.0238095238095,0.249140893471,0.317666666667,0.135738831615,0.27145581691,0.498095238095,0.0846511627907,0.103277674706,0.292485549133,0.0,0.0569620253165,0.477409326425,0.332535885167,0.0296296296296,0.0688405797101,0.325,0.189054726368,0.307926829268,0.0776470588235,0.402661064426,0.0227642276423,0.336724647194,0.231741573034,0.420009784736,0.315471698113,0.414837398374,0.471851225697,0.275524002705,0.0208333333333,0.181818181818,0.465065502183,0.49885583524,0.292695473251,0.0163043478261,0.370967741935
Average Gap Length,3.5294117647099994,30.8333333333,14.0,12.2352941176,7.06818181818,5.39130434783,5.27586206897,1.0,5.09677419355,0.0,19.3962264151,1.0,2.5,5.18965517241,6.77914110429,7.13333333333,1.5,2.93939393939,6.5,2.25,22.5,8.15432098765,10.2,0.0,11.5,15.6351351351,23.2926829268,11.2307692308,13.5242718447,3.7962962963,5.51515151515,0.0,7.4,1.66956521739,2.25,1.0,0.0,10.64,10.651226158,0.0,34.8205128205,3.73394495413,4.41436464088,17.4051724138,3.27272727273,3.1,2.66666666667,4.91150442478,8.66666666667,4.64864864865,7.55555555556,1.5641025641,14.55,8.01724137931,6.40816326531,7.95,1.22222222222,28.9090909091,5.05263157895,3.55555555556,3.125,2.625,8.56976744186,7.76470588235,10.3333333333,8.42857142857,5.33333333333,15.4,3.16666666667,2.41666666667,5.70731707317,10.7452830189,1.09090909091,1.0,7.85964912281,1.0,11.1960784314,5.94285714286,18.72,2.28571428571,2.22222222222,5.30769230769,0.0,11.4222222222,1.8,18.0588235294,3.27272727273,3.61111111111,3.89075630252,2.0,3.69230769231,7.71428571429,16.081300813,15.48,1.0,3.14049586777,4.05063291139,4.39259259259,0.0,2.625,15.0420168067,2.3,4.65217391304,5.66666666667,1.44444444444,26.71875,2.0,8.05555555556,7.68548387097,4.64705882353,6.88709677419,19.3703703704,3.37037037037,4.51351351351,10.7659574468,0.0,9.0,12.7617728532,8.77894736842,2.66666666667,1.85365853659,7.15,7.6,6.93893129771,3.14285714286,11.7346938776,1.55555555556,9.58878504673,5.68965517241,10.5337423313,13.0625,17.1512605042,18.9863945578,6.93617021277,1.14285714286,3.6,23.6666666667,15.7971014493,6.1847826087,1.0,12.5454545455
Median Gap Length,1.0,5.0,14.0,4.0,4.0,3.0,3.0,1.0,3.0,0.0,9.0,1.0,2.0,2.0,6.0,4.0,1.5,2.0,7.5,2.5,21.0,4.0,11.0,0.0,12.0,4.0,15.0,8.0,10.0,2.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0,6.0,0.0,38.0,2.0,3.0,13.0,1.0,3.5,2.0,3.0,5.0,3.0,6.0,1.0,14.0,7.0,3.0,11.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,12.0,6.0,4.0,14.0,3.0,2.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,4.0,6.0,1.5,1.0,5.0,0.0,9.0,1.0,5.0,2.0,4.0,2.0,2.0,3.0,11.0,9.0,9.0,1.0,3.0,2.0,2.0,0.0,2.0,7.0,1.5,3.0,3.0,1.0,7.5,1.0,8.0,4.0,4.0,4.0,33.0,2.0,3.0,11.0,0.0,9.0,8.0,2.0,1.0,1.0,8.0,7.0,8.0,1.0,8.0,1.0,4.0,3.0,7.0,7.5,11.0,6.0,6.0,1.0,2.0,4.0,15.0,5.0,1.0,9.5
1-SPFP(masked),0.714617169374,0.526923076923,0.668965517241,0.463087248322,0.158653846154,0.325102880658,0.517973856209,0.778380634391,0.392643284859,1.0,0.201273434736,0.96256684492,0.787139689579,0.523455956801,0.756948472544,0.188640973631,0.536931818182,0.788814016173,0.716643741403,0.558252427184,0.487603305785,0.264109264298,0.150495049505,0.952380952381,0.834398299746,0.37382629108,0.149669845928,0.504637126454,0.245932821626,0.414156626506,0.361192776144,1.0,0.303418803419,0.890891184544,0.757396449704,0.743639921722,0.926829268293,0.393511073494,0.334315852473,1.0,0.231520052275,0.763887935178,0.333652993215,0.238839285714,0.65115034778,0.51724137931,0.696480938416,0.656174750602,0.703056768559,0.88206940874,0.714801444043,0.600872600349,0.43036484896,0.517750744786,0.308788598575,0.823066392882,0.657215189873,0.837234042553,0.90406162465,0.880681818182,0.809958885336,0.697115384615,0.623386711281,0.646355224554,0.601374570447,0.677380952381,0.707865168539,0.644230769231,0.981992797119,0.831884057971,0.19131283553,0.25011165699,0.744870651204,0.776061776062,0.512459098918,0.811846689895,0.299869281046,0.765751920966,0.372448979592,0.747292418773,0.377551020408,0.718219366682,0.984,0.205004264999,0.739644970414,0.257554424347,0.480916030534,0.261862917399,0.433289572393,0.695652173913,0.619603267211,0.395973154362,0.344242329438,0.458718509201,1.0,0.772559293988,0.357721550542,0.336507261025,1.0,0.427374301676,0.252200563059,0.641509433962,0.617196702002,0.829220138203,0.903225806452,0.236947791165,0.532928064843,0.431034482759,0.649166781911,0.711129991504,0.36581733951,0.820939916716,0.80848806366,0.443700728841,0.670015760441,0.643243243243,0.839160839161,0.241309279464,0.36524024024,0.592,0.86624928856,0.5328,0.0647482014388,0.388979571648,0.539130434783,0.164992826399,0.8,0.294160583942,0.847058823529,0.483105697367,0.267643142477,0.230964715082,0.260144404332,0.72051102036,0.817204301075,0.484038604306,0.68085106383,0.407998177054,0.509451081204,0.9,0.146560846561
1-SPFN(masked),0.871698113208,0.634259259259,0.979797979798,0.833333333333,0.366666666667,0.325102880658,0.763855421687,0.797860962567,0.735576923077,1.0,0.347374847375,1.0,0.946666666667,0.723076923077,0.960647189633,0.298076923077,0.887323943662,0.97810828877,0.933691756272,0.563725490196,0.634408602151,0.633456096143,0.249589490969,1.0,0.96406974884,0.797496087637,0.253731343284,0.878636421889,0.346753328706,0.663050030139,0.493402180149,1.0,0.324200913242,0.986633249791,0.941176470588,0.76,1.0,0.48296398892,0.563346191665,1.0,0.526662950576,0.965040121449,0.779052843708,0.476150743986,0.827891156463,0.638888888889,0.989583333333,0.85289514867,0.860162601626,0.928934010152,0.991803278689,0.65580952381,0.621882086168,0.652126328956,0.482374768089,0.94387755102,0.908963585434,0.920467836257,0.97803030303,0.922619047619,0.938095238095,0.805555555556,0.958034894399,0.957219251337,0.757575757576,0.763246143528,0.875,0.812121212121,0.995133819951,0.911111111111,0.4545941124,0.412979351032,0.994047619048,0.848101265823,0.826298701299,0.995726495726,0.521363636364,0.937634408602,0.625714285714,0.89224137931,0.321739130435,0.948484848485,1.0,0.375520833333,0.786163522013,0.540454545455,0.552631578947,0.365196078431,0.720303049199,0.866666666667,0.874074074074,0.491666666667,0.69072280513,0.754070059219,1.0,0.948660638694,0.836247086247,0.732175925926,1.0,0.593023255814,0.674,0.743169398907,0.759420289855,0.939597315436,0.945,0.364197530864,0.661635220126,0.480225988701,0.964381099127,0.885714285714,0.590544871795,0.973544973545,0.907142857143,0.669584736251,0.956680731364,1.0,1.0,0.590952380952,0.581937799043,0.725490196078,0.953634085213,0.712299465241,0.0825688073394,0.619407687461,0.554471544715,0.322128851541,0.936507936508,0.637154150198,0.947368421053,0.67164438875,0.423157894737,0.445009416196,0.513247863248,0.952496732026,0.921212121212,0.804938271605,0.826291079812,0.698050682261,0.773415977961,0.964285714286,0.182476943347
TC(masked),0.6792452830188679,0.305555555556,0.969696969697,0.724637681159,0.285714285714,0.0,0.409638554217,0.4,0.173076923077,1.0,0.24358974359,1.0,0.92,0.363636363636,0.619047619048,0.0,0.830985915493,0.875,0.908602150538,0.352941176471,0.483870967742,0.149253731343,0.0,1.0,0.321428571429,0.577464788732,0.0671641791045,0.588235294118,0.0,0.341772151899,0.144578313253,1.0,0.164383561644,0.885964912281,0.882352941176,0.4,1.0,0.0,0.16814159292,1.0,0.179487179487,0.688679245283,0.204545454545,0.106382978723,0.614285714286,0.111111111111,0.96875,0.629107981221,0.707317073171,0.812182741117,0.983606557377,0.08,0.174603174603,0.365853658537,0.194805194805,0.607142857143,0.808823529412,0.901754385965,0.960227272727,0.892857142857,0.583333333333,0.733333333333,0.892561983471,0.636363636364,0.151515151515,0.605633802817,0.8125,0.681818181818,0.992700729927,0.828571428571,0.0,0.070796460177,0.982142857143,0.772151898734,0.704545454545,0.961538461538,0.0,0.844086021505,0.44,0.784482758621,0.0,0.716666666667,1.0,0.0,0.679245283019,0.3625,0.394736842105,0.0,0.341772151899,0.75,0.814814814815,0.425,0.161016949153,0.0,1.0,0.756476683938,0.431818181818,0.208333333333,1.0,0.186046511628,0.28,0.688524590164,0.507246376812,0.909395973154,0.8625,0.271604938272,0.188679245283,0.271186440678,0.636363636364,0.714285714286,0.0625,0.925925925926,0.791666666667,0.444444444444,0.860759493671,1.0,1.0,0.111111111111,0.276315789474,0.588235294118,0.877192982456,0.588235294118,0.0,0.195652173913,0.0,0.0980392156863,0.904761904762,0.159420289855,0.789473684211,0.138157894737,0.0736842105263,0.186440677966,0.188888888889,0.45,0.763636363636,0.555555555556,0.661971830986,0.166666666667,0.409090909091,0.928571428571,0.0
Compression(masked),0.9932432432432432,1.0,1.0,0.961165048544,0.88622754491,1.33443708609,1.00617283951,1.0,1.0,1.0,0.898148148148,1.0,1.0,0.972222222222,1.02777777778,0.90756302521,1.07874015748,1.0,1.02135231317,1.15555555556,0.884353741497,0.93137254902,0.927083333333,1.0,1.07142857143,1.0,0.917117117117,1.0,1.12307692308,0.970238095238,1.0,1.0,0.991803278689,1.0,1.03333333333,1.0,1.0,1.22831050228,1.00819672131,1.0,0.80701754386,1.01973684211,1.02898550725,1.0641025641,0.982142857143,0.946666666667,1.0,0.981578947368,1.08707865169,1.01224489796,1.0,1.13888888889,1.19459459459,1.02631578947,0.988636363636,1.02222222222,1.05050505051,1.01461377871,1.00473933649,1.0,1.0,1.02469135802,1.01229508197,1.0,0.925925925926,1.00961538462,1.0,1.04444444444,1.0,0.992,1.00485436893,1.07977207977,1.0,0.988764044944,0.976744186047,1.0,0.986111111111,0.968810916179,0.957356076759,1.01315789474,1.44585987261,1.04854368932,1.0,0.893617021277,1.01639344262,1.07507507508,1.12121212121,1.14173228346,0.959064327485,1.0,1.00714285714,1.07058823529,1.012,1.15966386555,1.0,0.984848484848,1.00740740741,0.990291262136,1.0,1.17763157895,1.05442176871,0.987951807229,0.929203539823,1.0,1.0,1.00806451613,1.05714285714,0.907216494845,1.0,1.0206185567,0.97520661157,0.985714285714,1.00465116279,1.03401360544,1.08670520231,1.0,1.0,1.18652849741,0.985645933014,1.02777777778,1.00724637681,0.95,0.975124378109,0.967479674797,1.32941176471,0.946078431373,1.00487804878,1.01805054152,1.01123595506,0.954337899543,0.890566037736,1.0325203252,1.13406593407,1.08620689655,1.0,0.939393939394,1.0,0.834782608696,0.987654320988,1.0,1.16129032258
Average Terminal Gap length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
