Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00051735,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL10051735,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00051904,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00055464,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.922480620155,0.820689655172,0.758112094395,0.661971830986,0.6643454039,0.660056657224,0.855383973289,0.776136363636,0.590868397493,0.957219251337,0.824444444444,0.639267015707,0.76404494382,0.664772727273,0.814147018031,0.75,0.980392156863,0.582967515364,0.889763779528,0.997372569627,1.0,0.867741401432,0.461873638344,0.289345063539,0.577424085576,0.751931993818,1.0,0.59756097561,0.959302325581,1.0,1.0,0.686972459364,0.710712343665,0.687687687688,0.973607038123,0.666904422254,0.850065925786,0.948891031823,0.946481665015,0.867422375554,0.771036315323,0.71393389501,0.47191011236,0.870076726343,0.954108858058,0.952553422673,0.880681818182,0.971683032656,0.634615384615,0.88722306525,0.768707482993,0.791071428571,0.609195402299,0.891764705882,0.989130434783,0.872807017544,0.660392394976,0.978590544157,0.731800766284,0.52594887684,0.762098597919,0.907497116494,0.919591552988,0.991708126036,0.848920863309,0.741935483871,1.0,0.563283716734,0.811111111111,0.570926807161,0.709677419355,0.814925373134,0.9384359401,0.737397420868,0.0,0.624595623499,0.967365967366,0.7847767617,1.0,0.654685494223,0.545588648497,0.0,0.773607748184,0.903162055336,0.94623655914,0.663438256659,0.767395626243,0.632591093117,0.869971077744,0.694393611712,0.883324453916,0.609700815956,0.892617449664,1.0,0.990675990676,0.390529095086,0.648374229421,0.913725490196,0.711076684741,1.0,0.662116858238,0.62030075188,0.878378378378,0.920741989882,0.676693227092,0.829064587973,0.561315841121,0.709972552608,0.400214100015,0.902572595558,0.936559139785,0.653234750462,0.988095238095,0.705116560702,0.977777777778
1-SPFN,0.457692307692,0.820689655172,0.701227830832,0.198172874209,0.697368421053,0.64293598234,0.855383973289,0.790738060781,0.245353159851,0.957219251337,0.826280623608,0.613670631597,0.150776053215,0.629032258065,0.799727520436,0.75652173913,0.660792951542,0.573185864581,0.345565749235,0.997372569627,1.0,0.871178857847,0.402335766423,0.239482200647,0.575822096049,0.41124260355,1.0,0.59756097561,0.959302325581,1.0,1.0,0.686575078332,0.709554831705,0.700305810398,0.97503671072,0.64986967854,0.831582826608,0.949806949807,0.947107438017,0.864723223059,0.663996948894,0.686868686869,0.475282906492,0.84,0.935146443515,0.917015341702,0.885714285714,0.971017800091,0.628571428571,0.87312585867,0.798586572438,0.788256227758,0.59217877095,0.88344988345,0.983193277311,0.874084919473,0.654136751494,0.978590544157,0.743190661479,0.510910458992,0.432051282051,0.876169265033,0.914605091051,0.357228195938,0.842857142857,0.26558891455,1.0,0.45716796017,0.214076246334,0.530532743736,0.474820143885,0.458053691275,0.9384359401,0.730121880441,0.0,0.624990312677,0.967365967366,0.776010638298,1.0,0.635910224439,0.262655980521,0.0,0.770808202654,0.902270483712,0.94623655914,0.202363367799,0.766633565045,0.651041666667,0.867192625073,0.70127688172,0.880509824748,0.592163193425,0.87874076953,1.0,0.990675990676,0.241743080319,0.720386784851,0.913725490196,0.72972972973,0.0425531914894,0.666779203241,0.445043830074,0.0980392156863,0.92385786802,0.405031596518,0.835109366237,0.456387784161,0.541899441341,0.17666914197,0.877484294125,0.936559139785,0.675200611387,0.481624758221,0.70898021309,0.977777777778
SP-Score,0.690086463924,0.820689655172,0.729669962614,0.430072352598,0.680856912476,0.651496319782,0.855383973289,0.783437212209,0.418110778672,0.957219251337,0.825362534026,0.626468823652,0.457410498518,0.646902492669,0.806937269233,0.753260869565,0.820592554202,0.578076689972,0.617664764382,0.997372569627,1.0,0.86946012964,0.432104702384,0.264413632093,0.576623090813,0.581587298684,1.0,0.59756097561,0.959302325581,1.0,1.0,0.686773768848,0.710133587685,0.693996749043,0.974321874421,0.658387050397,0.840824376197,0.949348990815,0.946794551516,0.866072799307,0.717516632109,0.700401290939,0.473596509426,0.855038363171,0.944627650786,0.934784382187,0.883198051948,0.971350416374,0.631593406593,0.88017446196,0.783647027716,0.789663828165,0.600687086624,0.887607294666,0.986161856047,0.873445968508,0.657264573235,0.978590544157,0.737495713881,0.518429667916,0.597074939985,0.891833190764,0.917098322019,0.674468160987,0.845889003083,0.50376219921,1.0,0.510225838452,0.512593678723,0.550729775448,0.59224878162,0.636489532205,0.9384359401,0.733759650654,0.0,0.624792968088,0.967365967366,0.780393699999,1.0,0.645297859331,0.404122314509,0.0,0.772207975419,0.902716269524,0.94623655914,0.432900812229,0.767014595644,0.641816379892,0.868581851409,0.697835246716,0.881917139332,0.600932004691,0.885679109597,1.0,0.990675990676,0.316136087703,0.684380507136,0.913725490196,0.720403207235,0.521276595745,0.664448030739,0.532672290977,0.488208797032,0.922299928951,0.540862411805,0.832086977105,0.508851812641,0.625935996974,0.288441620993,0.890028444841,0.936559139785,0.664217680925,0.734859998158,0.707048386896,0.977777777778
TC,0.0,0.566666666667,0.542105263158,0.147058823529,0.43115942029,0.256578947368,0.538461538462,0.358778625954,0.0434782608696,0.90625,0.716981132075,0.303921568627,0.0535714285714,0.443548387097,0.707692307692,0.536585365854,0.593406593407,0.076,0.306666666667,0.8125,1.0,0.25,0.104026845638,0.0254957507082,0.123076923077,0.1,1.0,0.329787234043,0.910112359551,1.0,1.0,0.101449275362,0.366972477064,0.225352112676,0.854166666667,0.318452380952,0.474522292994,0.825892857143,0.74358974359,0.441176470588,0.15923566879,0.141935483871,0.132530120482,0.646464646465,0.898148148148,0.809278350515,0.819672131148,0.733333333333,0.527777777778,0.539915966387,0.190476190476,0.612244897959,0.353846153846,0.65625,0.944055944056,0.714285714286,0.106382978723,0.896103896104,0.597701149425,0.219653179191,0.402877697842,0.648648648649,0.242857142857,0.381489841986,0.729166666667,0.0709677419355,1.0,0.115384615385,0.0983606557377,0.213166144201,0.339622641509,0.183333333333,0.809523809524,0.551470588235,0.0,0.0540540540541,0.951048951049,0.228723404255,1.0,0.251700680272,0.0597402597403,0.0,0.5,0.806094182825,0.827586206897,0.0960698689956,0.385714285714,0.388235294118,0.386363636364,0.314049586777,0.682926829268,0.212328767123,0.616541353383,1.0,0.974683544304,0.00281690140845,0.224390243902,0.859550561798,0.333333333333,0.0,0.155737704918,0.00613496932515,0.11320754717,0.865671641791,0.0532319391635,0.579710144928,0.039312039312,0.240909090909,0.0,0.259615384615,0.793650793651,0.290322580645,0.0112359550562,0.25974025974,0.955555555556
Modeler,0.9224806201550388,0.820689655172,0.758112094395,0.661971830986,0.6643454039,0.660056657224,0.855383973289,0.776136363636,0.590868397493,0.957219251337,0.824444444444,0.639267015707,0.76404494382,0.664772727273,0.814147018031,0.75,0.980392156863,0.582967515364,0.889763779528,0.997372569627,1.0,0.867741401432,0.461873638344,0.289345063539,0.577424085576,0.751931993818,1.0,0.59756097561,0.959302325581,1.0,1.0,0.686972459364,0.710712343665,0.687687687688,0.973607038123,0.666904422254,0.850065925786,0.948891031823,0.946481665015,0.867422375554,0.771036315323,0.71393389501,0.47191011236,0.870076726343,0.954108858058,0.952553422673,0.880681818182,0.971683032656,0.634615384615,0.88722306525,0.768707482993,0.791071428571,0.609195402299,0.891764705882,0.989130434783,0.872807017544,0.660392394976,0.978590544157,0.731800766284,0.52594887684,0.762098597919,0.907497116494,0.919591552988,0.991708126036,0.848920863309,0.741935483871,1.0,0.563283716734,0.811111111111,0.570926807161,0.709677419355,0.814925373134,0.9384359401,0.737397420868,0.0,0.624595623499,0.967365967366,0.7847767617,1.0,0.654685494223,0.545588648497,0.0,0.773607748184,0.903162055336,0.94623655914,0.663438256659,0.767395626243,0.632591093117,0.869971077744,0.694393611712,0.883324453916,0.609700815956,0.892617449664,1.0,0.990675990676,0.390529095086,0.648374229421,0.913725490196,0.711076684741,1.0,0.662116858238,0.62030075188,0.878378378378,0.920741989882,0.676693227092,0.829064587973,0.561315841121,0.709972552608,0.400214100015,0.902572595558,0.936559139785,0.653234750462,0.988095238095,0.705116560702,0.977777777778
Compression,1.2694610778443114,1.0,1.09708737864,2.97604790419,0.94701986755,1.08641975309,1.0,1.00699300699,2.77469135802,1.0,1.00617283951,1.18518518519,2.35294117647,1.07874015748,1.03558718861,0.977777777778,1.34013605442,1.11764705882,1.9375,1.0,1.0,1.19642857143,1.78758169935,1.24864864865,1.53846153846,1.66225165563,1.0,1.0,1.0,1.0,1.0,1.14492753623,1.00892857143,0.946666666667,1.0,1.11052631579,1.11516853933,1.00816326531,1.02564102564,1.05555555556,1.58378378378,1.37368421053,1.13636363636,1.08080808081,1.02087682672,1.11374407583,1.0,1.05454545455,1.02469135802,1.10040983607,0.898148148148,1.00961538462,1.02898550725,1.02222222222,1.03424657534,1.008,1.10194174757,1.0,0.977528089888,1.08837209302,1.54166666667,1.07602339181,1.44285714286,1.71641791045,1.00657894737,1.88535031847,1.0,1.37021276596,2.67213114754,1.24024024024,1.51515151515,1.7874015748,1.0,1.08571428571,2.36470588235,1.60504201681,1.0,1.04368932039,1.0,1.05921052632,3.56235827664,2.72289156627,1.01769911504,1.0027100271,1.0,2.13172043011,1.01428571429,0.979381443299,1.44,1.01652892562,1.01395348837,1.12925170068,1.12716763006,1.0,1.0,3.09067357513,0.942583732057,1.0,0.925,2.34328358209,1.30894308943,1.87058823529,3.0931372549,1.0,2.58122743682,0.988764044944,1.91095890411,1.4679245283,2.72747252747,1.60344827586,1.0,0.969696969697,1.39737991266,1.08641975309,1.0
Average Pairwise P-Distance,0.8142980189489999,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.764895104895,0.786193787616,0.879565203046,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.799765163582,0.847672274575,0.782683774713,0.524376417234,0.774916539814,0.861152728131,0.850695955925,0.854308558811,0.815129818058,0.804679802956,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.808553896499,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.675416092756,0.708650643938,0.75184822332,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.618521313252,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.834185311021,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.440886735322,0.764229860249,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.833676484616,0.886406493972,0.815108708814,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.86218096979,0.622377622378,0.809989405627,0.706793206793,0.744416359698,0.849104293182,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.854271993041,0.807710109027,0.761102969559,0.794122381104,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.843426904794,0.859316943561,0.690131311764,0.766103536779,0.929481607917,0.807125851204,0.812615551788,0.880696127587,0.697150997151,0.789775128239,0.724044994574,0.837399016901,0.811895826654,0.863779802491,0.739846879968,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,1.0,0.910256410256,0.928571428571,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.96,0.975,1.0,0.690476190476,1.0,0.909722222222,0.922222222222,1.0,0.934579439252,1.0,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.941176470588,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.928571428571,0.945054945055,0.888888888889,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.767741935484,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.962962962963,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.789081885856,0.96875,0.895833333333,0.801470588235,0.935714285714,0.048,0.971428571429,0.964912280702,0.904347826087,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,1.0,0.678321678322,0.949685534591,0.909090909091,0.909090909091,0.93009118541,0.906666666667,0.884615384615,0.743119266055,0.8125,0.904191616766,0.89552238806,0.873015873016,0.969696969697,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.93956043956,0.969072164948,0.855421686747,0.913043478261,0.949275362319,0.967741935484,0.883720930233,0.954022988506,0.732323232323,0.940298507463,0.84126984127,0.944444444444,0.862595419847,0.945945945946,0.948051948052,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,34.0,9.0,7.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,22.0,7.0,119.0,7.0,95.0,10.0,4.0,53.0,7.0,29.0,3.0,4.0,5.0,3.0,29.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,21.0,8.0,13.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,10.0,7.0,7.0,3.0,6.0,4.0,4.0,20.0,6.0,3.0,8.0,11.0,5.0,166.0,4.0,4.0,3.0,3.0,16.0,4.0,11.0,3.0,4.0,6.0,6.0,3.0,82.0,3.0,16.0,14.0,4.0,15.0,3.0,5.0,3.0,5.0,5.0,6.0,6.0,60.0,13.0,5.0,11.0,10.0,3.0,4.0,25.0,12.0,3.0,11.0,3.0,24.0,5.0,7.0,3.0,11.0,8.0,28.0,5.0,13.0,51.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,26.0,143.0,324.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,306.0,96.0,32.0,84.0,56.0,306.0,555.0,65.0,151.0,20.0,122.0,90.0,41.0,76.0,138.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,36.0,185.0,190.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,488.0,108.0,104.0,69.0,45.0,146.0,125.0,206.0,78.0,89.0,215.0,144.0,513.0,70.0,469.0,152.0,157.0,125.0,235.0,61.0,333.0,66.0,127.0,43.0,140.0,85.0,119.0,145.0,206.0,22.0,152.0,441.0,83.0,113.0,369.0,88.0,372.0,70.0,97.0,50.0,121.0,215.0,147.0,173.0,185.0,79.0,386.0,209.0,180.0,40.0,201.0,123.0,170.0,204.0,205.0,277.0,89.0,438.0,265.0,455.0,116.0,64.0,99.0,229.0,162.0,46.0
