Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
AL00047241-Small,DefaultProbCons,0.740157480315,0.727554179567,0.733855829941,0.51048951049,0.740157480315,1.04054054054,0.860814458486,0.925373134328,5.0,148.0,154.0,144.0,0.0688170016896,0.0810810810811,3.52941176471,1.0,0.623622047244,0.747169811321,0.622641509434,1.04054054054,0.0
AL10051306,DefaultProbCons,0.599206349206,0.580769230769,0.589987789988,0.311111111111,0.599206349206,1.0,0.814298018949,0.976744186047,4.0,167.0,167.0,165.0,1.34102718446,0.553892215569,30.8333333333,5.0,0.539682539683,0.62962962963,0.388888888889,1.0,0.0
AL10063562,DefaultProbCons,0.834482758621,0.834482758621,0.834482758621,0.616666666667,0.834482758621,1.0,0.52922705314,0.739130434783,4.0,60.0,60.0,60.0,0.152507618277,0.116666666667,14.0,14.0,0.655172413793,0.959595959596,0.939393939394,1.0,0.0
AL00050685,DefaultProbCons,0.628650904033,0.616643929059,0.622647416546,0.315789473684,0.628650904033,0.970873786408,0.72558849887,0.880733944954,4.0,206.0,200.0,191.0,0.271207638478,0.252427184466,12.2352941176,4.0,0.404728789986,0.702898550725,0.463768115942,0.970873786408,0.0
AL10050875,DefaultProbCons,0.334566987417,0.317638791286,0.326102889351,0.117647058824,0.334566987417,0.982035928144,0.866442755423,0.955056179775,6.0,167.0,164.0,129.0,0.110341115921,0.310379241517,7.06818181818,4.0,0.210954848261,0.452380952381,0.380952380952,0.982035928144,0.0
AL00056276,DefaultProbCons,0.656488549618,0.62865497076,0.642571760189,0.416666666667,0.656488549618,1.05298013245,0.76663335237,0.839805825243,3.0,302.0,318.0,280.0,0.111641298133,0.136865342163,5.39130434783,3.0,0.479389312977,0.646090534979,0.469135802469,1.05298013245,0.0
AL00052787,DefaultProbCons,0.683856502242,0.673289183223,0.678572842733,0.157894736842,0.683856502242,1.04938271605,0.716576829227,0.89,6.0,162.0,170.0,153.0,0.142749867157,0.157407407407,5.27586206897,3.0,0.442825112108,0.63453815261,0.21686746988,1.04938271605,0.0
AL10052799,DefaultProbCons,0.960559265442,0.960559265442,0.960559265442,0.846153846154,0.960559265442,1.0,0.764895104895,1.0,34.0,26.0,26.0,26.0,0.0157856011585,0.0079185520362,1.0,1.0,0.936143572621,0.959572192513,0.88,1.0,0.0
AL00052441,DefaultProbCons,0.755764304014,0.768451519537,0.762107911775,0.274809160305,0.755764304014,1.00699300699,0.786193787616,0.910256410256,9.0,143.0,144.0,126.0,0.126146246741,0.245532245532,5.09677419355,3.0,0.431255337319,0.809294871795,0.365384615385,1.00699300699,0.0
AL10089447-Small,DefaultProbCons,1.0,1.0,1.0,1.0,1.0,1.0,0.796428571429,1.0,21.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
AL00051735,DefaultProbCons,0.262063227953,0.234200743494,0.248131985724,0.0217391304348,0.262063227953,1.21604938272,0.879565203046,0.928571428571,7.0,324.0,394.0,255.0,0.345332632711,0.453262786596,19.3962264151,9.0,0.223377703827,0.327838827839,0.0769230769231,1.21604938272,0.0
AL00057282,DefaultProbCons,0.978609625668,0.978609625668,0.978609625668,0.9375,0.978609625668,1.0,0.402721774194,0.58064516129,4.0,32.0,32.0,32.0,0.0183285799743,0.015625,1.0,1.0,0.941176470588,0.977777777778,0.966666666667,1.0,0.0
AL00055186,DefaultProbCons,0.79128440367,0.768374164811,0.77982928424,0.635220125786,0.79128440367,1.04938271605,0.703348308521,0.824324324324,3.0,162.0,170.0,159.0,0.0259067428483,0.0411522633745,2.5,2.0,0.73623853211,0.856,0.784,1.04938271605,0.0
