,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.8125,0.848275862069,0.64417989418,0.264066496164,0.646324549237,0.580522306855,0.761253561254,0.957219251337,0.82,0.658487731597,0.183235867446,0.676136363636,0.816551724138,0.75,0.462406015038,0.34036939314,1.0,0.184594953519,0.425957446809,0.557692307692,0.96511627907,1.0,1.0,0.796610169492,0.715142428786,0.973607038123,0.706484049931,0.842987520954,0.940533590485,0.926216127979,0.641332834145,0.5059026778,0.875191815857,0.939330543933,0.944005743001,0.863636363636,0.971911395296,0.625,0.768707482993,0.78630952381,0.595505617978,0.889671361502,0.989130434783,0.870639534884,0.978590544157,0.731800766284,0.468198307134,0.457010069713,0.950598802395,0.850299401198,0.741935483871,1.0,0.71884057971,0.507246376812,0.458003169572,0.941763727121,0.781536697248,0.212643678161,0.972027972028,1.0,0.697877652934,0.723004694836,0.730046948357,0.898221343874,0.94982078853,0.768619662363,0.613911290323,0.553662420382,0.882791688865,0.59748427673,0.899221712233,1.0,0.990675990676,0.905882352941,0.703161141095,0.15,0.606646058733,0.922428330523,0.826280623608,0.55343771273,0.941935483871,0.630314232902,0.980620155039,0.673097053985,0.977777777778
1-SPFN,0.45,0.848275862069,0.664392905866,0.290231904427,0.681286549708,0.58885209713,0.773371924747,0.957219251337,0.821826280624,0.660914726085,0.208425720621,0.639784946237,0.806539509537,0.75652173913,0.541850220264,0.394495412844,1.0,0.224919093851,0.423076923077,0.589430894309,0.96511627907,1.0,1.0,0.79098805646,0.729357798165,0.97503671072,0.708079930495,0.833978256864,0.941441441441,0.937851239669,0.653318077803,0.523228111971,0.844938271605,0.939330543933,0.917015341702,0.868571428571,0.97124600639,0.619047619048,0.798586572438,0.783511269276,0.59217877095,0.88344988345,0.983193277311,0.87701317716,0.978590544157,0.743190661479,0.485578128919,0.453846153846,0.379330943847,0.845238095238,0.26558891455,1.0,0.727272727273,0.503597122302,0.484899328859,0.941763727121,0.791062100987,0.216374269006,0.972027972028,1.0,0.697007481297,0.736842105263,0.750301568154,0.897334649556,0.94982078853,0.768619662363,0.634375,0.584173387097,0.879978757302,0.599501027297,0.875631558492,1.0,0.990675990676,0.905882352941,0.724960254372,0.0496453900709,0.529332434255,0.925549915398,0.832305103758,0.567737430168,0.941935483871,0.651509361865,0.489361702128,0.685083713851,0.977777777778
SP-Score,0.63125,0.848275862069,0.654286400023,0.277149200295,0.663805549472,0.584687201993,0.767312743,0.957219251337,0.820913140312,0.659701228841,0.195830794034,0.657960654936,0.811545616837,0.753260869565,0.502128117651,0.367432402992,1.0,0.204757023685,0.424517184943,0.573561601001,0.96511627907,1.0,1.0,0.793799112976,0.722250113475,0.974321874421,0.707281990213,0.838482888909,0.940987515963,0.932033683824,0.647325455974,0.514565394886,0.860065043731,0.939330543933,0.930510542351,0.866103896104,0.971578700843,0.622023809524,0.783647027716,0.784910396543,0.593842194464,0.886560622476,0.986161856047,0.873826356022,0.978590544157,0.737495713881,0.476888218027,0.45542811178,0.664964873121,0.847768748218,0.50376219921,1.0,0.723056653491,0.505421749557,0.471451249216,0.941763727121,0.786299399117,0.214508973583,0.972027972028,1.0,0.697442567115,0.729923400049,0.740174258256,0.897777996715,0.94982078853,0.768619662363,0.624143145161,0.568917903739,0.881385223084,0.598492652013,0.887426635363,1.0,0.990675990676,0.905882352941,0.714060697733,0.0998226950355,0.567989246494,0.92398912296,0.829292863683,0.560587571449,0.941935483871,0.640911797383,0.734990928583,0.679090383918,0.977777777778
TC,0.0,0.6333333333333333,0.4052631578947368,0.11764705882352941,0.391304347826087,0.1118421052631579,0.2900763358778626,0.90625,0.710691823899371,0.3333333333333333,0.0,0.4596774193548387,0.7076923076923077,0.5365853658536586,0.4065934065934066,0.08,1.0,0.025495750708215296,0.04,0.3191489361702128,0.9213483146067416,1.0,1.0,0.5321100917431193,0.29577464788732394,0.8541666666666666,0.3869047619047619,0.47770700636942676,0.7991071428571429,0.7264957264957265,0.12738853503184713,0.18072289156626506,0.6565656565656566,0.9104938271604939,0.8092783505154639,0.7868852459016393,0.7555555555555555,0.5138888888888888,0.19047619047619047,0.6122448979591837,0.3230769230769231,0.65625,0.9440559440559441,0.7142857142857143,0.8961038961038961,0.5977011494252874,0.15028901734104047,0.15827338129496402,0.39954853273137697,0.7291666666666666,0.07096774193548387,1.0,0.4918032786885246,0.33962264150943394,0.1,0.8095238095238095,0.5514705882352942,0.0,0.958041958041958,1.0,0.32653061224489793,0.5974025974025974,0.4148936170212766,0.7950138504155124,0.8160919540229885,0.37142857142857144,0.35294117647058826,0.18181818181818182,0.6829268292682927,0.2465753424657534,0.5864661654135338,1.0,0.9746835443037974,0.8426966292134831,0.2777777777777778,0.0,0.006134969325153374,0.8756218905472637,0.5797101449275363,0.23636363636363636,0.8253968253968254,0.2903225806451613,0.011235955056179775,0.17532467532467533,0.9555555555555556
Modeler,0.8125,0.8482758620689655,0.6441798941798942,0.2640664961636829,0.6463245492371706,0.5805223068552775,0.7612535612535613,0.9572192513368984,0.82,0.658487731597396,0.18323586744639375,0.6761363636363636,0.8165517241379311,0.75,0.462406015037594,0.3403693931398417,1.0,0.1845949535192563,0.42595744680851066,0.5576923076923077,0.9651162790697675,1.0,1.0,0.7966101694915254,0.7151424287856072,0.9736070381231672,0.7064840499306518,0.8429875209536226,0.9405335904853744,0.9262161279791055,0.6413328341445151,0.5059026778001727,0.8751918158567775,0.9393305439330544,0.9440057430007178,0.8636363636363636,0.9719113952957296,0.625,0.7687074829931972,0.7863095238095238,0.5955056179775281,0.8896713615023474,0.9891304347826086,0.8706395348837209,0.9785905441570026,0.7318007662835249,0.46819830713422006,0.45701006971340047,0.9505988023952096,0.8502994011976048,0.7419354838709677,1.0,0.7188405797101449,0.5072463768115942,0.45800316957210774,0.9417637271214643,0.7815366972477065,0.21264367816091953,0.972027972027972,1.0,0.6978776529338327,0.7230046948356808,0.7300469483568075,0.8982213438735178,0.9498207885304659,0.7686196623634558,0.6139112903225806,0.5536624203821656,0.8827916888652104,0.5974842767295597,0.8992217122330872,1.0,0.9906759906759907,0.9058823529411765,0.7031611410948342,0.15,0.606646058732612,0.9224283305227656,0.8262806236080178,0.5534377127297482,0.9419354838709677,0.6303142329020333,0.9806201550387597,0.6730970539853447,0.9777777777777777
Compression,1.2275449101796407,1.0,0.9368932038834952,0.7784431137724551,0.9403973509933775,0.9567901234567902,0.993006993006993,1.0,1.0061728395061729,0.9166666666666666,0.8991596638655462,1.078740157480315,1.0213523131672597,0.9777777777777777,0.8095238095238095,0.7395833333333334,1.0,0.8234234234234235,0.9933774834437086,0.9426229508196722,1.0,1.0,1.0,1.0178571428571428,0.9466666666666667,1.0,0.9368421052631579,0.9971910112359551,1.0081632653061225,1.0,0.9405405405405406,0.9431818181818182,1.0808080808080809,0.9958246346555324,1.0900473933649288,1.0,1.0545454545454545,1.0246913580246915,0.8981481481481481,1.0096153846153846,1.0,1.0222222222222221,1.0342465753424657,0.992,1.0,0.9775280898876404,0.8883720930232558,0.9722222222222222,1.5778251599147122,1.0,1.8853503184713376,1.0,0.9836065573770492,1.0151515151515151,0.9212598425196851,1.0,0.9857142857142858,1.0,1.0,1.0,1.0,0.9759036144578314,0.9469026548672567,1.002710027100271,1.0,1.0,0.9072164948453608,0.859504132231405,1.013953488372093,0.9931972789115646,1.023121387283237,1.0,1.0,1.0,0.875,1.736318407960199,1.2705882352941176,1.0,0.9887640449438202,0.9018867924528302,1.0,0.9595959595959596,1.3842794759825328,0.9876543209876543,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.674603174603,0.524376417234,0.710810810811,0.769473352255,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.559845559846,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.887978142077,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.622988505747,0.706793206793,0.74451754386,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.696296296296,0.641818181818,0.870646766169,0.805882352941,0.70243902439,0.621990369181,0.719622641509,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.864583333333,0.690476190476,0.886486486486,0.94701986755,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.924324324324,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.942430703625,0.815789473684,0.936305732484,0.048,0.967213114754,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.68275862069,0.909090909091,0.921052631579,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.866666666667,0.925,0.935323383085,0.882352941176,0.741463414634,0.876404494382,0.852830188679,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,9,4,3,13,4,3,3,4,3,7,7,4,7,3,4,5,3,7,5,6,7,7,6,9,8,8,7,3,6,3,15,3,7,7,3,6,4,4,6,3,8,11,4,4,3,3,4,3,4,6,6,3,3,14,4,3,5,3,5,6,6,13,5,11,10,3,4,3,11,3,5,3,8,5,6,9,4,12,4
Reference Length,167,60,206,167,302,162,143,32,162,108,119,127,281,45,147,96,84,555,151,122,90,41,76,112,75,48,380,356,245,117,185,176,99,479,211,75,55,81,108,104,69,45,146,125,78,89,215,144,469,152,157,125,61,66,127,43,140,85,145,22,152,83,113,369,88,70,97,121,215,147,173,185,79,180,40,201,170,205,89,265,64,99,229,162,46
