Statistics,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.922480620155,0.829787234043,0.898,0.951351351351,0.702205882353,0.787384833451,0.787673252728,0.957219251337,0.823660714286,0.760694108152,0.76404494382,0.69696969697,0.813202247191,0.803191489362,1.0,0.885885885886,1.0,0.354567307692,0.944105691057,0.791208791209,0.976608187135,1.0,1.0,0.77909037212,0.709090909091,0.973607038123,0.705446953881,0.874025194961,0.943078913325,0.945582801478,0.880773361976,0.639515455305,0.877806788512,0.969162995595,0.954002173126,0.869318181818,0.969171043617,0.668292682927,0.768707482993,0.801577669903,0.654320987654,0.891764705882,0.989090909091,0.891207153502,0.982094897046,0.731800766284,0.704619861768,0.885931558935,0.993322203673,0.916216216216,0.741935483871,1.0,0.716666666667,0.794871794872,0.844559585492,0.941373534338,0.853675945753,0.0,0.972027972028,1.0,0.807228915663,0.0,0.823848238482,0.90396039604,0.94982078853,0.791183294664,0.675519630485,0.845435244161,0.891862955032,0.77411021814,0.908790072389,1.0,0.990675990676,0.909803921569,0.824880382775,1.0,0.673960612691,0.895368782161,0.857391304348,0.79532967033,0.936559139785,0.629588431591,0.990697674419,0.700377477194,0.977777777778
1-SPFN,0.457692307692,0.806896551724,0.612551159618,0.123682361209,0.558479532164,0.613134657837,0.773082489146,0.957219251337,0.821826280624,0.631596582342,0.150776053215,0.618279569892,0.788828337875,0.65652173913,0.4140969163,0.300713557594,1.0,0.238673139159,0.392645815723,0.585365853659,0.970930232558,1.0,1.0,0.716069489685,0.715596330275,0.97503671072,0.645873153779,0.805417357656,0.938223938224,0.930578512397,0.625476735317,0.455926146516,0.83012345679,0.92050209205,0.918410041841,0.874285714286,0.968507530808,0.652380952381,0.798586572438,0.783511269276,0.59217877095,0.88344988345,0.979591836735,0.875549048316,0.978590544157,0.743190661479,0.485828944068,0.238974358974,0.355436081243,0.807142857143,0.26558891455,1.0,0.126099706745,0.446043165468,0.273489932886,0.935108153078,0.694138131167,0.0,0.972027972028,1.0,0.584788029925,0.0,0.733413751508,0.901283316881,0.94982078853,0.6772591857,0.609375,0.669018817204,0.884758364312,0.395802759026,0.853867081228,1.0,0.990675990676,0.909803921569,0.685214626391,0.0401891252955,0.415374241403,0.883248730964,0.829500841279,0.404329608939,0.936559139785,0.64883454337,0.411992263056,0.677777777778,0.977777777778
SP-Score,0.690086463924,0.818341892883,0.755275579809,0.53751685628,0.630342707258,0.700259745644,0.780377870937,0.957219251337,0.822743497455,0.696145345247,0.457410498518,0.657624633431,0.801015292533,0.729856614246,0.70704845815,0.59329972174,1.0,0.296620223425,0.66837575339,0.688287322434,0.973769209846,1.0,1.0,0.747579930903,0.712343619683,0.974321874421,0.67566005383,0.839721276309,0.940651425774,0.938080656937,0.753125048646,0.54772080091,0.853965122651,0.944832543822,0.936206107483,0.871801948052,0.968839287213,0.660336817654,0.783647027716,0.79254446959,0.623249879302,0.887607294666,0.984341372913,0.883378100909,0.980342720601,0.737495713881,0.595224402918,0.562452958955,0.674379142458,0.86167953668,0.50376219921,1.0,0.421383186706,0.62045748017,0.559024759189,0.938240843708,0.77390703846,0.0,0.972027972028,1.0,0.696008472794,0.0,0.778630994995,0.90262185646,0.94982078853,0.734221240182,0.642447315242,0.757227030683,0.888310659672,0.584956488583,0.881328576808,1.0,0.990675990676,0.909803921569,0.755047504583,0.520094562648,0.544667427047,0.889308756563,0.843446072813,0.599829639634,0.936559139785,0.63921148748,0.701344968737,0.689077627486,0.977777777778
TC,0.0,0.566666666667,0.552631578947,0.0882352941176,0.315217391304,0.263157894737,0.320610687023,0.90625,0.710691823899,0.343137254902,0.0535714285714,0.427419354839,0.696153846154,0.487804878049,0.296703296703,0.253333333333,1.0,0.0878186968839,0.106666666667,0.372340425532,0.943820224719,1.0,1.0,0.449541284404,0.239436619718,0.854166666667,0.333333333333,0.449044585987,0.799107142857,0.717948717949,0.133757961783,0.138554216867,0.626262626263,0.885802469136,0.809278350515,0.803278688525,0.711111111111,0.541666666667,0.190476190476,0.622448979592,0.4,0.65625,0.937062937063,0.72268907563,0.922077922078,0.597701149425,0.190751445087,0.402877697842,0.381489841986,0.701388888889,0.0709677419355,1.0,0.0,0.339622641509,0.0416666666667,0.809523809524,0.514705882353,0.0,0.958041958042,1.0,0.285714285714,0.0,0.478723404255,0.808864265928,0.816091954023,0.371428571429,0.376470588235,0.347107438017,0.70243902439,0.123287671233,0.601503759398,1.0,0.974683544304,0.848314606742,0.277777777778,0.0,0.00613496932515,0.810945273632,0.579710144928,0.213636363636,0.793650793651,0.290322580645,0.0112359550562,0.233766233766,0.955555555556
Modeler,0.922480620155,0.829787234043,0.898,0.951351351351,0.702205882353,0.787384833451,0.787673252728,0.957219251337,0.823660714286,0.760694108152,0.76404494382,0.69696969697,0.813202247191,0.803191489362,1.0,0.885885885886,1.0,0.354567307692,0.944105691057,0.791208791209,0.976608187135,1.0,1.0,0.77909037212,0.709090909091,0.973607038123,0.705446953881,0.874025194961,0.943078913325,0.945582801478,0.880773361976,0.639515455305,0.877806788512,0.969162995595,0.954002173126,0.869318181818,0.969171043617,0.668292682927,0.768707482993,0.801577669903,0.654320987654,0.891764705882,0.989090909091,0.891207153502,0.982094897046,0.731800766284,0.704619861768,0.885931558935,0.993322203673,0.916216216216,0.741935483871,1.0,0.716666666667,0.794871794872,0.844559585492,0.941373534338,0.853675945753,0.0,0.972027972028,1.0,0.807228915663,0.0,0.823848238482,0.90396039604,0.94982078853,0.791183294664,0.675519630485,0.845435244161,0.891862955032,0.77411021814,0.908790072389,1.0,0.990675990676,0.909803921569,0.824880382775,1.0,0.673960612691,0.895368782161,0.857391304348,0.79532967033,0.936559139785,0.629588431591,0.990697674419,0.700377477194,0.977777777778
Compression,1.26946107784,1.03333333333,1.43689320388,3.44910179641,1.24834437086,1.50617283951,1.12587412587,1.0,1.01234567901,1.52777777778,2.35294117647,1.16535433071,1.06049822064,1.37777777778,1.62585034014,2.01041666667,1.0,1.42162162162,2.01986754967,1.31147540984,1.01111111111,1.0,1.0,1.16964285714,0.973333333333,1.0,1.28421052632,1.28370786517,1.03673469388,1.05982905983,1.92972972973,1.85795454545,1.12121212121,1.05845511482,1.11374407583,1.0,1.05454545455,1.04938271605,0.898148148148,1.05769230769,1.11594202899,1.02222222222,1.04109589041,1.048,1.02564102564,0.977528089888,1.73488372093,2.90277777778,1.7249466951,1.23684210526,1.88535031847,1.0,2.86885245902,1.66666666667,2.28346456693,1.04651162791,1.55714285714,2.36470588235,1.0,1.0,1.50657894737,2.72289156627,1.26548672566,1.0054200542,1.0,1.7,1.27835051546,1.47107438017,1.02790697674,2.14285714286,1.23699421965,1.0,1.0,1.0,1.575,2.34825870647,2.21764705882,1.02926829268,1.16853932584,1.96981132075,1.0,0.979797979798,1.48034934498,1.24074074074,1.0
Average Pairwise P-Distance,0.814298018949,0.52922705314,0.72558849887,0.866442755423,0.76663335237,0.716576829227,0.786193787616,0.402721774194,0.703348308521,0.809063244915,0.888737204087,0.516129032258,0.749552440302,0.788040385601,0.85097728965,0.847672274575,0.524376417234,0.850695955925,0.815129818058,0.792347415101,0.619511754885,0.770731707317,0.236842105263,0.737639698197,0.839825595677,0.308458383227,0.784573698352,0.698984691535,0.647427116702,0.678466734187,0.708650643938,0.809471716687,0.444285188746,0.6296426235,0.732845499985,0.743230079875,0.619349125512,0.828544212133,0.607942720467,0.732430894085,0.861909953792,0.774176562685,0.572314102178,0.467356948607,0.785150303873,0.787018255578,0.739221783702,0.860946387181,0.749079248371,0.693491285403,0.851960784314,0.0346666666667,0.886406493972,0.744036970781,0.818706564327,0.809847374847,0.801628915955,0.912852664577,0.622377622378,0.706793206793,0.744416359698,0.879336650083,0.784402974313,0.666253343173,0.589742678725,0.807710109027,0.761102969559,0.794908485751,0.657215231991,0.832150611068,0.725144030768,0.0036036036036,0.343550331525,0.690131311764,0.766103536779,0.929481607917,0.812615551788,0.697150997151,0.724044994574,0.811895826654,0.681441666037,0.821851041798,0.746465242071,0.803832859116,0.5
Maximum Pairwise P-Distance,0.976744186047,0.739130434783,0.880733944954,0.955056179775,0.839805825243,0.89,0.910256410256,0.58064516129,0.824324324324,0.942857142857,0.918918918919,0.774193548387,0.788844621514,0.864864864865,0.867647058824,0.975,0.690476190476,0.922222222222,0.934579439252,0.829545454545,0.855421686747,0.878048780488,0.302631578947,0.8625,0.983050847458,0.511111111111,0.87265917603,0.80534351145,0.755980861244,0.842105263158,0.945054945055,0.928057553957,0.833333333333,0.72641509434,0.828125,0.810344827586,0.825,0.885714285714,0.904109589041,0.884615384615,0.929824561404,0.90625,0.647887323944,0.718181818182,0.864864864865,0.882352941176,0.885496183206,0.954545454545,0.895833333333,0.801470588235,0.935714285714,0.048,0.964912280702,0.807692307692,0.893617021277,0.923076923077,0.883333333333,0.945454545455,0.678321678322,0.909090909091,0.909090909091,0.906666666667,0.884615384615,0.743119266055,0.8125,0.89552238806,0.873015873016,0.957746478873,0.737704918033,0.949579831933,0.879310344828,0.00540540540541,0.442857142857,0.855421686747,0.913043478261,0.949275362319,0.883720930233,0.732323232323,0.84126984127,0.862595419847,0.803278688525,0.954545454545,0.83908045977,0.923076923077,0.577777777778
Number of Sequences,4.0,4.0,4.0,6.0,3.0,6.0,9.0,4.0,3.0,13.0,4.0,3.0,3.0,4.0,3.0,7.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,8.0,8.0,7.0,3.0,6.0,3.0,15.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,3.0,8.0,11.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0,14.0,4.0,3.0,5.0,3.0,5.0,6.0,6.0,13.0,5.0,11.0,10.0,3.0,4.0,3.0,11.0,3.0,5.0,3.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0
Reference Length,167.0,60.0,206.0,167.0,302.0,162.0,143.0,32.0,162.0,108.0,119.0,127.0,281.0,45.0,147.0,96.0,84.0,555.0,151.0,122.0,90.0,41.0,76.0,112.0,75.0,48.0,380.0,356.0,245.0,117.0,185.0,176.0,99.0,479.0,211.0,75.0,55.0,81.0,108.0,104.0,69.0,45.0,146.0,125.0,78.0,89.0,215.0,144.0,469.0,152.0,157.0,125.0,61.0,66.0,127.0,43.0,140.0,85.0,145.0,22.0,152.0,83.0,113.0,369.0,88.0,70.0,97.0,121.0,215.0,147.0,173.0,185.0,79.0,180.0,40.0,201.0,170.0,205.0,89.0,265.0,64.0,99.0,229.0,162.0,46.0
