Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
RoseSmallS1R01,BPPD,0.90608027287,0.906277648194,0.906178960532,0.42028985507246375,0.9060802728701287,0.9990974729241877,0.689072400044,0.744744744745,25,1108,1107,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,BPMAP,0.860010855508,0.860224134695,0.860117495102,0.22608695652173913,0.8600108555078301,0.990072202166065,0.689072400044,0.744744744745,25,1108,1097,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,MAFFT,0.458119905616,0.392346309553,0.425233107584,0.06183574879227053,0.4581199056157088,1.4431407942238268,0.689072400044,0.744744744745,25,1108,1599,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,Muscle,0.112772685021,0.0971741869755,0.104973435998,0.010628019323671498,0.11277268502133253,1.4097472924187726,0.689072400044,0.744744744745,25,1108,1562,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,Clustal,0.198037486632,0.176868012547,0.18745274959,0.0,0.19803748663201937,1.1335740072202165,0.689072400044,0.744744744745,25,1108,1256,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,GINSI,0.530718245769,0.472552883455,0.501635564612,0.07053140096618357,0.530718245768549,1.2671480144404332,0.689072400044,0.744744744745,25,1108,1404,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,EINSI,0.186829700845,0.134159092737,0.160494396791,0.002898550724637681,0.1868297008447286,1.7644404332129964,0.689072400044,0.744744744745,25,1108,1955,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,LINSI,0.417002945566,0.353933751575,0.385468348571,0.0,0.41700294556625156,1.4223826714801444,0.689072400044,0.744744744745,25,1108,1576,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,DiAlign,0.0530253229017,0.0191928738036,0.0361090983527,0.0,0.05302532290171751,4.51173285198556,0.689072400044,0.744744744745,25,1108,4999,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,KAlign,0.304414266649,0.300420252554,0.302417259601,0.001932367149758454,0.3044142666490082,1.095667870036101,0.689072400044,0.744744744745,25,1108,1214,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,Prime,0.0761648874784,0.0707760261669,0.0734704568226,0.00676328502415459,0.07616488747836123,1.3564981949458483,0.689072400044,0.744744744745,25,1108,1503,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,ProbAlign,0.142769821865,0.126025496662,0.134397659264,0.017391304347826087,0.1427698218651764,1.2129963898916967,0.689072400044,0.744744744745,25,1108,1344,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,DefaultProbCons,0.242695776409,0.182173114561,0.212434445485,0.00966183574879227,0.2426957764086079,2.032490974729242,0.689072400044,0.744744744745,25,1108,2252,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,SAPD,0.099694167372,0.0643448886029,0.0820195279874,0.004830917874396135,0.09969416737196829,2.8637184115523464,0.689072400044,0.744744744745,25,1108,3173,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,SAPDSum,0.0994483804345,0.0637416552723,0.0815950178534,0.002898550724637681,0.09944838043449844,2.868231046931408,0.689072400044,0.744744744745,25,1108,3178,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,SAPDMul,0.136057212457,0.107814552669,0.121935882563,0.008695652173913044,0.13605721245749666,2.229241877256318,0.689072400044,0.744744744745,25,1108,2470,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R01,SparseSAPD,0.105174311927,0.0672337059975,0.086204008962,0.00676328502415459,0.10517431192660551,2.9025270758122743,0.689072400044,0.744744744745,25,1108,3216,1014,0.00474915468148,0.0936462093863,2.02973395931,2.0
RoseSmallS1R02,BPPD,0.8907822976,0.890288368154,0.890535332877,0.33527696793002915,0.8907822975999139,1.0026881720430108,0.689124496217,0.736040609137,25,1116,1119,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
RoseSmallS1R02,BPMAP,0.869581589255,0.869184161091,0.869382875173,0.2633624878522838,0.8695815892547951,1.0044802867383513,0.689124496217,0.736040609137,25,1116,1121,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
RoseSmallS1R02,MAFFT,0.338433221657,0.274969671104,0.30670144638,0.0,0.33843322165694667,1.5259856630824373,0.689124496217,0.736040609137,25,1116,1703,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
RoseSmallS1R02,Muscle,0.0954653937947,0.0825349244382,0.0890001591165,0.0,0.0954653937947494,1.3064516129032258,0.689124496217,0.736040609137,25,1116,1458,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
RoseSmallS1R02,Clustal,0.141606696565,0.12319412846,0.132400412512,0.0,0.1416066965648044,1.14247311827957,0.689124496217,0.736040609137,25,1116,1275,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
RoseSmallS1R02,GINSI,0.521904244166,0.451677078748,0.486790661457,0.057337220602526724,0.5219042441657282,1.278673835125448,0.689124496217,0.736040609137,25,1116,1427,1017,0.00658330794053,0.101684587814,2.16070068545,2.0
