Sample File Name,Average P-Distance,Max P-Distance
PFamSample1,0.233880805409,0.289682539683
PFamSample2,0.392318809005,0.65408496732
PFamSample3,0.414261371987,0.548032407407
PFamSample4,0.427475994513,0.654194642986
PFamSample5,0.438726274951,0.588374004846
PFamSample6,0.447674407211,0.66240446796
PFamSample7,0.455493926402,0.64308681672
PFamSample8,0.462993113537,0.616417408325
PFamSample9,0.469859216886,0.671417490789
PFamSample10,0.475954218107,0.662367724868
PFamSample11,0.482422000805,0.662489935588
PFamSample12,0.488708276177,0.617741197988
PFamSample13,0.494833127572,0.637160493827
PFamSample14,0.499808916324,0.665267489712
PFamSample15,0.506027336861,0.65448633157
PFamSample16,0.511548264292,0.64195380049
PFamSample17,0.517763009425,0.678514536041
PFamSample18,0.524154383976,0.678287981859
PFamSample19,0.530478015584,0.720097146327
PFamSample20,0.537252558827,0.673314339981
PFamSample21,0.544436496582,0.656056270863
PFamSample22,0.551730490779,0.703760859625
PFamSample23,0.561458805745,0.680650037793
PFamSample24,0.573275034294,0.728266460905
PFamSample25,0.589391814744,0.71371226718
