,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL10052799,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL00052799,AL10063763,AL10053473,AL00055594,AL10051350,AL00053335,AL00052150,AL10050412,AL00052086,AL10089447,AL20089447,AL00101215,AL00088995,AL00089048,AL10050815,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL10057468,AL00050799,AL00050021,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00051412,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00063410,AL00047861,AL00051984,AL00052141,AL00088696,AL00053701,AL00069381,AL00089800,AL00109622,AL00068994,AL00053697,AL10109622,AL00051971,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL10054592,AL00089623,AL00063412,AL10054814,AL00049599,AL00051913,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL10053335,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL00052317,AL00050475,AL10101215,AL10057491,AL00055723,AL10050464,AL10069117,AL00051392,AL00100877,AL00054790,AL10054593,AL00051906,AL00053473,AL10050155,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.454198473282,0.848275862069,0.643328929987,0.26204238921,0.646324549237,0.582519001086,0.855383973289,0.749430523918,0.957219251337,0.82,0.66105087573,0.238636363636,0.676136363636,0.816551724138,0.75,0.462406015038,0.56907336726,0.34036939314,0.997372569627,1.0,0.863108952691,0.460551541071,0.184594953519,0.556662294061,0.426382978723,1.0,0.557692307692,0.96511627907,1.0,1.0,0.570331207473,0.733910221741,0.715142428786,0.973607038123,0.705230342917,0.877318640955,0.945390298747,0.926216127979,0.867279894875,0.643579183826,0.607553165485,0.49683908046,0.875191815857,0.939330543933,0.942737430168,0.863636363636,0.971911395296,0.625,0.878034233912,0.768707482993,0.78630952381,0.595505617978,0.889671361502,0.984280532044,0.870639534884,0.496352247605,0.978590544157,0.731800766284,0.475254730713,0.385941991116,0.885310983679,0.484942084942,0.850299401198,0.741935483871,1.0,0.467139834846,0.710144927536,0.469091283742,0.496402877698,0.458003169572,0.941763727121,0.775229357798,0.156756756757,0.603833208676,0.972027972028,0.664595292011,1.0,0.701622971286,0.49348432254,0.723004694836,0.730046948357,0.898221343874,0.94982078853,0.768619662363,0.613911290323,0.857612477924,0.56116256787,0.882791688865,0.59748427673,0.897548335659,1.0,0.990675990676,0.391410817595,0.608954512979,0.905882352941,0.703161141095,0.0970873786408,0.620186753947,0.599227799228,0.922428330523,0.47298245614,0.826280623608,0.492591794209,0.517702070808,0.344663161756,0.884507185812,0.941935483871,0.675755342668,0.805732484076,0.66307922272,0.977777777778
1-SPFN,0.457692307692,0.848275862069,0.664392905866,0.286718200984,0.681286549708,0.592163355408,0.855383973289,0.761794500724,0.957219251337,0.821826280624,0.663930306584,0.279379157428,0.639784946237,0.806539509537,0.75652173913,0.541850220264,0.579174534664,0.394495412844,0.997372569627,1.0,0.866504148372,0.455912408759,0.224919093851,0.538464847194,0.423499577346,1.0,0.589430894309,0.96511627907,1.0,1.0,0.579802362015,0.736699239957,0.729357798165,0.97503671072,0.707558644657,0.880228487194,0.946911196911,0.937851239669,0.864723223059,0.655606407323,0.619902731014,0.514889815366,0.844938271605,0.939330543933,0.941422594142,0.868571428571,0.97124600639,0.619047619048,0.879397885431,0.798586572438,0.783511269276,0.59217877095,0.88344988345,0.977190876351,0.87701317716,0.506371461865,0.978590544157,0.743190661479,0.491346877351,0.378717948718,0.893986636971,0.375149342891,0.845238095238,0.26558891455,1.0,0.501171474594,0.718475073314,0.479364076648,0.496402877698,0.484899328859,0.941763727121,0.784677887406,0.169590643275,0.577537333453,0.972027972028,0.671276595745,1.0,0.700748129676,0.293260288796,0.736842105263,0.750301568154,0.897334649556,0.94982078853,0.768619662363,0.634375,0.846700963298,0.590389784946,0.879978757302,0.599501027297,0.875048581422,1.0,0.990675990676,0.271417048735,0.686811710986,0.905882352941,0.724960254372,0.0945626477541,0.621443040417,0.523263654754,0.925549915398,0.482174794325,0.832305103758,0.420741886385,0.541201117318,0.190305812462,0.857195068948,0.941935483871,0.700802445548,0.489361702128,0.675190258752,0.977777777778
SP-Score,0.455945390487,0.848275862069,0.653860917927,0.274380295097,0.663805549472,0.587341178247,0.855383973289,0.755612512321,0.957219251337,0.820913140312,0.662490591157,0.259007760532,0.657960654936,0.811545616837,0.753260869565,0.502128117651,0.574123950962,0.367432402992,0.997372569627,1.0,0.864806550531,0.458231974915,0.204757023685,0.547563570628,0.424941278035,1.0,0.573561601001,0.96511627907,1.0,1.0,0.575066784744,0.735304730849,0.722250113475,0.974321874421,0.706394493787,0.878773564074,0.946150747829,0.932033683824,0.866001558967,0.649592795574,0.61372794825,0.505864447913,0.860065043731,0.939330543933,0.942080012155,0.866103896104,0.971578700843,0.622023809524,0.878716059671,0.783647027716,0.784910396543,0.593842194464,0.886560622476,0.980735704197,0.873826356022,0.501361854735,0.978590544157,0.737495713881,0.483300804032,0.382329969917,0.889648810325,0.430045713917,0.847768748218,0.50376219921,1.0,0.48415565472,0.714310000425,0.474227680195,0.496402877698,0.471451249216,0.941763727121,0.779953622602,0.163173700016,0.590685271064,0.972027972028,0.667935943878,1.0,0.701185550481,0.393372305668,0.729923400049,0.740174258256,0.897777996715,0.94982078853,0.768619662363,0.624143145161,0.852156720611,0.575776176408,0.881385223084,0.598492652013,0.886298458541,1.0,0.990675990676,0.331413933165,0.647883111983,0.905882352941,0.714060697733,0.0958250131975,0.620814897182,0.561245726991,0.92398912296,0.477578625232,0.829292863683,0.456666840297,0.529451594063,0.267484487109,0.87085112738,0.941935483871,0.688278894108,0.647547093102,0.669134740736,0.977777777778
TC,0.0,0.6333333333333333,0.4052631578947368,0.11764705882352941,0.391304347826087,0.1118421052631579,0.5384615384615384,0.25190839694656486,0.90625,0.710691823899371,0.3333333333333333,0.0625,0.4596774193548387,0.7076923076923077,0.5365853658536586,0.4065934065934066,0.052,0.08,0.8125,1.0,0.25,0.1174496644295302,0.025495750708215296,0.0,0.04,1.0,0.3191489361702128,0.9213483146067416,1.0,1.0,0.10869565217391304,0.4036697247706422,0.29577464788732394,0.8541666666666666,0.3898809523809524,0.554140127388535,0.8214285714285714,0.7264957264957265,0.4411764705882353,0.12738853503184713,0.17419354838709677,0.18072289156626506,0.6565656565656566,0.9104938271604939,0.8350515463917526,0.7868852459016393,0.7555555555555555,0.5138888888888888,0.5294117647058824,0.19047619047619047,0.6122448979591837,0.3230769230769231,0.65625,0.9370629370629371,0.7142857142857143,0.09574468085106383,0.8961038961038961,0.5977011494252874,0.15028901734104047,0.18705035971223022,0.6735966735966736,0.2866817155756208,0.7291666666666666,0.07096774193548387,1.0,0.0625,0.47540983606557374,0.14733542319749215,0.33962264150943394,0.1,0.8095238095238095,0.5514705882352942,0.0,0.06306306306306306,0.958041958041958,0.13829787234042554,1.0,0.3333333333333333,0.05194805194805195,0.5974025974025974,0.4148936170212766,0.7950138504155124,0.8160919540229885,0.37142857142857144,0.35294117647058826,0.38636363636363635,0.18181818181818182,0.6829268292682927,0.2465753424657534,0.5939849624060151,1.0,0.9746835443037974,0.0,0.2048780487804878,0.8426966292134831,0.2777777777777778,0.0,0.12295081967213115,0.006134969325153374,0.8756218905472637,0.0,0.5797101449275363,0.03931203931203931,0.1590909090909091,0.0,0.2403846153846154,0.8253968253968254,0.3333333333333333,0.0,0.17532467532467533,0.9555555555555556
Modeler,0.4541984732824427,0.8482758620689655,0.6433289299867899,0.26204238921001927,0.6463245492371706,0.5825190010857764,0.8553839732888147,0.7494305239179955,0.9572192513368984,0.82,0.6610508757297748,0.23863636363636365,0.6761363636363636,0.8165517241379311,0.75,0.462406015037594,0.5690733672603902,0.3403693931398417,0.9973725696269049,1.0,0.86310895269105,0.46055154107063856,0.1845949535192563,0.5566622940614092,0.42638297872340425,1.0,0.5576923076923077,0.9651162790697675,1.0,1.0,0.5703312074729131,0.7339102217414819,0.7151424287856072,0.9736070381231672,0.7052303429165223,0.8773186409550046,0.9453902987471892,0.9262161279791055,0.8672798948751642,0.6435791838262823,0.6075531654852114,0.4968390804597701,0.8751918158567775,0.9393305439330544,0.9427374301675978,0.8636363636363636,0.9719113952957296,0.625,0.8780342339118506,0.7687074829931972,0.7863095238095238,0.5955056179775281,0.8896713615023474,0.9842805320435308,0.8706395348837209,0.49635224760501107,0.9785905441570026,0.7318007662835249,0.475254730713246,0.38594199111575644,0.8853109836788707,0.48494208494208496,0.8502994011976048,0.7419354838709677,1.0,0.4671398348461066,0.7101449275362319,0.46909128374201525,0.49640287769784175,0.45800316957210774,0.9417637271214643,0.7752293577981652,0.15675675675675677,0.6038332086761407,0.972027972027972,0.6645952920111644,1.0,0.7016229712858927,0.49348432254026064,0.7230046948356808,0.7300469483568075,0.8982213438735178,0.9498207885304659,0.7686196623634558,0.6139112903225806,0.8576124779240764,0.5611625678696902,0.8827916888652104,0.5974842767295597,0.8975483356587602,1.0,0.9906759906759907,0.3914108175946616,0.6089545129792808,0.9058823529411765,0.7031611410948342,0.0970873786407767,0.6201867539468617,0.5992277992277992,0.9224283305227656,0.4729824561403509,0.8262806236080178,0.49259179420852195,0.5177020708082832,0.3446631617557159,0.8845071858118438,0.9419354838709677,0.6757553426676493,0.8057324840764332,0.6630792227204784,0.9777777777777777
Compression,0.9880239520958084,1.0,0.9368932038834952,0.7784431137724551,0.9403973509933775,0.9567901234567902,1.0,0.986013986013986,1.0,1.0061728395061729,0.9166666666666666,0.8487394957983193,1.078740157480315,1.0213523131672597,0.9777777777777777,0.8095238095238095,0.869281045751634,0.7395833333333334,1.0,1.0,0.9642857142857143,1.1666666666666667,0.8234234234234235,1.123076923076923,0.9933774834437086,1.0,0.9426229508196722,1.0,1.0,1.0,0.9130434782608695,1.0,0.9466666666666667,1.0,0.9342105263157895,0.9859550561797753,1.0,1.0,1.0277777777777777,0.9405405405405406,0.8894736842105263,0.9375,1.0808080808080809,0.9958246346555324,1.009478672985782,1.0,1.0545454545454545,1.0246913580246915,1.0102459016393444,0.8981481481481481,1.0096153846153846,1.0,1.0222222222222221,1.0273972602739727,0.992,0.9466019417475728,1.0,0.9775280898876404,0.8883720930232558,0.9722222222222222,0.9785575048732943,1.232409381663113,1.0,1.8853503184713376,1.0,0.7361702127659574,0.9836065573770492,0.9309309309309309,1.0,0.9212598425196851,1.0,0.9857142857142858,0.8705882352941177,1.411764705882353,1.0,0.9514563106796117,1.0,1.0,2.820861678004535,0.9759036144578314,0.9469026548672567,1.002710027100271,1.0,1.0,0.9072164948453608,1.16,0.859504132231405,1.013953488372093,0.9931972789115646,1.023121387283237,1.0,1.0,2.8419689119170983,0.7942583732057417,1.0,0.875,1.0597014925373134,0.9024390243902439,1.2647058823529411,1.0,0.927797833935018,0.9887640449438202,1.5593607305936072,0.8716981132075472,2.013186813186813,1.3793103448275863,1.0,0.9393939393939394,1.2882096069868996,0.9567901234567902,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.765734265734,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.577610842317,0.674603174603,0.782767768124,0.524376417234,0.479415293553,0.676978939724,0.710810810811,0.595913810428,0.769473352255,0.804679802956,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.715285214536,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.605291005291,0.559845559846,0.568016194332,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.635382513661,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.74703628002,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.452046783626,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.60609929078,0.887978142077,0.703521703522,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.485623698441,0.622988505747,0.731148867314,0.706793206793,0.74451754386,0.721736313573,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.575355932203,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.57304835924,0.713861099029,0.696296296296,0.641818181818,0.870646766169,0.652380110758,0.805882352941,0.70243902439,0.65677715786,0.621990369181,0.58648015269,0.719622641509,0.581910397295,0.585449628127,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,1.0,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.849673202614,0.864583333333,1.0,0.690476190476,0.892857142857,0.875816993464,0.886486486486,0.938461538462,0.94701986755,1.0,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.876811594203,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.916666666667,0.924324324324,0.8,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.829918032787,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.917475728155,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.834307992203,0.942430703625,0.815789473684,0.936305732484,0.048,0.829787234043,0.967213114754,0.885885885886,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.840336134454,0.68275862069,0.907766990291,0.909090909091,0.921052631579,0.893424036281,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.98,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.79792746114,0.913875598086,0.866666666667,0.925,0.935323383085,0.894308943089,0.882352941176,0.741463414634,0.884476534296,0.876404494382,0.803652968037,0.852830188679,0.894505494505,0.844827586207,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,34,9,4,3,13,4,3,3,4,3,22,7,119,7,95,10,4,53,7,29,3,4,5,3,29,7,5,6,7,7,6,9,21,8,13,8,7,3,6,3,15,3,10,7,7,3,6,4,4,20,6,3,8,11,5,4,4,3,3,16,4,11,3,4,6,6,3,82,3,16,14,4,15,3,5,3,5,6,6,60,13,5,11,10,3,4,25,12,3,11,3,24,5,3,11,8,28,5,13,51,6,9,4,12,4
Reference Length,167,60,206,167,302,162,26,143,32,162,108,119,127,281,45,147,306,96,32,84,56,306,555,65,151,20,122,90,41,76,138,112,75,48,380,356,245,117,36,185,190,176,99,479,211,75,55,81,488,108,104,69,45,146,125,206,78,89,215,144,513,469,152,157,125,235,61,333,66,127,43,140,85,119,145,206,22,152,441,83,113,369,88,70,97,50,121,215,147,173,185,79,386,209,180,40,201,123,170,205,277,89,438,265,455,116,64,99,229,162,46
