,BALBS324,BALBS213,BALBS032,BALBS195,BALBS346,BALBS348,BALBS126,BALBS284,BALBS046,BALBS246,BALBS290,BALBS363,BALBS373,BALBS234,BALBS314,BALBS182,BALBS029,BALBS002,BALBS343,BALBS372,BALBS116,BALBS098,BALBS255,BALBS179,BALBS049,BALBS165,BALBS015,BALBS086,BALBS004,BALBS240,BALBS117,BALBS105,BALBS109,BALBS065,BALBS067,BALBS297,BALBS171,BALBS060,BALBS261,BALBS338,BALBS136,BALBS238,BALBS082,BALBS295,BALBS048,BALBS145,BALBS173,BALBS066,BALBS057,BALBS281,BALBS249,BALBS052,BALBS175,BALBS114,BALBS339,BALBS311,BALBS181,BALBS358,BALBS013,BALBS316,BALBS263,BALBS251,BALBS146,BALBS283,BALBS217,BALBS125,BALBS159,BALBS134,BALBS239,BALBS122,BALBS270,BALBS258,BALBS056,BALBS304,BALBS058,BALBS045,BALBS130,BALBS166,BALBS078,BALBS250,BALBS167,BALBS218,BALBS081,BALBS332,BALBS359,BALBS235,BALBS209,BALBS021,BALBS170,BALBS351,BALBS152,BALBS208,BALBS026,BALBS242,BALBS087,BALBS101,BALBS230,BALBS199,BALBS335,BALBS286,BALBS150,BALBS256,BALBS039,BALBS194,BALBS207,BALBS309,BALBS121,BALBS051,BALBS379,BALBS298,BALBS355,BALBS095,BALBS092,BALBS096,BALBS228,BALBS308,BALBS042,BALBS186,BALBS275,BALBS093,BALBS254,BALBS111,BALBS028,BALBS378,BALBS024,BALBS102,BALBS185,BALBS262,BALBS106,BALBS212,BALBS020,BALBS198,BALBS055,BALBS302,BALBS019,BALBS077,BALBS135,BALBS202,BALBS075,BALBS331,BALBS139,BALBS280,BALBS183,BALBS323,BALBS030,BALBS206,BALBS010,BALBS368,BALBS140,BALBS340,BALBS089,BALBS248,BALBS369,BALBS044,BALBS307,BALBS342,BALBS204,BALBS127,BALBS272,BALBS180,BALBS273,BALBS356,BALBS007,BALBS123,BALBS108,BALBS036,BALBS231,BALBS306,BALBS168,BALBS299,BALBS061,BALBS225,BALBS151,BALBS008,BALBS099,BALBS312,BALBS236,BALBS282,BALBS112,BALBS100,BALBS153,BALBS245,BALBS084,BALBS113,BALBS259,BALBS079,BALBS294,BALBS163,BALBS033,BALBS157,BALBS303,BALBS310,BALBS380,BALBS053,BALBS223,BALBS360,BALBS059,BALBS054,BALBS184,BALBS104,BALBS376,BALBS160,BALBS035,BALBS037,BALBS334,BALBS317,BALBS361,BALBS017,BALBS162,BALBS071,BALBS009,BALBS178,BALBS144,BALBS149,BALBS327,BALBS172,BALBS070,BALBS068,BALBS005,BALBS072,BALBS276,BALBS003,BALBS247,BALBS318,BALBS192,BALBS137,BALBS326,BALBS367,BALBS216,BALBS014,BALBS094,BALBS375,BALBS271,BALBS190,BALBS088,BALBS268,BALBS138,BALBS371,BALBS188,BALBS252,BALBS011,BALBS264,BALBS291,BALBS287,BALBS337,BALBS220,BALBS352,BALBS241,BALBS191,BALBS222,BALBS296,BALBS097,BALBS063,BALBS266,BALBS350,BALBS289,BALBS305,BALBS265,BALBS083,BALBS006,BALBS349,BALBS016,BALBS080,BALBS257,BALBS377,BALBS205,BALBS115,BALBS023,BALBS128,BALBS158,BALBS196,BALBS224,BALBS025,BALBS040,BALBS260,BALBS164,BALBS197,BALBS345,BALBS038,BALBS330,BALBS064,BALBS253,BALBS118,BALBS232,BALBS103,BALBS143,BALBS132,BALBS267,BALBS091,BALBS370,BALBS187,BALBS274,BALBS365,BALBS357,BALBS022,BALBS313,BALBS221,BALBS148,BALBS154,BALBS120,BALBS041,BALBS200,BALBS141,BALBS364,BALBS210,BALBS285,BALBS147,BALBS322,BALBS031,BALBS034,BALBS214,BALBS142,BALBS110,BALBS047,BALBS237,BALBS043,BALBS243,BALBS073,BALBS107,BALBS336,BALBS129,BALBS050,BALBS277,BALBS131,BALBS156,BALBS090,BALBS027,BALBS366,BALBS325,BALBS018,BALBS176,BALBS133,BALBS119,BALBS244,BALBS155,BALBS341,BALBS269,BALBS288,BALBS069,BALBS229,BALBS001,BALBS012,BALBS354,BALBS315,BALBS279,BALBS227,BALBS062,BALBS226,BALBS233,BALBS374,BALBS211,BALBS074,BALBS333
1-SPFP,0.606712591614,0.774960127592,0.469074394464,0.338878326996,0.90212808175,0.534276455191,0.746298314829,0.745127118644,0.856737856738,0.862868068834,0.876075259605,0.342118601115,0.744730255421,0.851869839728,0.650220788043,0.893710691824,0.470826893354,0.911894273128,0.553714901019,0.962093729177,0.87900128041,0.499902372352,0.91487056916,0.873628552545,0.884942319369,0.289411764706,0.786860512961,0.967282458564,0.686041751944,0.963209786379,0.939032112166,0.883025317808,0.798757335174,0.884909743481,0.786609551007,0.793662600417,0.745149077142,0.902184235518,0.416689244107,0.761043581382,0.71775106082,0.981678880746,0.870756402621,0.793179761988,0.824858757062,0.627198224347,0.894780650215,0.90997302911,0.937146585472,0.724537607891,0.908145733292,0.935759829968,0.831298701299,0.733506337958,0.821554080437,0.924242424242,0.060291858679,0.830115315987,0.896245059289,0.884567483899,0.796749540486,0.981058562609,0.851703129327,0.871346886912,0.830139039214,0.84350289417,0.814285714286,0.857238974861,0.873484771315,0.865791178376,0.86674101923,0.920612973845,0.897229766431,0.61612583676,0.713639200999,0.94043186895,0.740460157127,0.840946742152,0.854485448545,0.896334412581,0.810053981107,0.555847568988,0.711168639053,0.903077805391,0.638014745549,0.954090548054,0.643455176639,0.695275821596,0.732716927454,0.955127303418,0.908264790407,0.922847672896,0.0890804597701,0.94370029301,0.866854404427,0.971713606016,0.93661971831,0.649052668173,0.767359351242,0.691288506128,0.746161650321,0.448344370861,0.714609739827,0.884381071558,0.95023613167,0.767811934901,0.90345143156,0.609899823217,0.857259665927,0.744140069196,0.804035781152,0.618707110317,0.89651997084,0.630290354331,0.962865939749,0.856982613573,0.924637681159,0.628631187544,0.680246968222,0.866047848377,0.706329113924,0.88868101029,0.495881851747,0.708060084632,0.529586384326,0.874003896614,0.594182095149,0.882661049276,0.839214399037,0.644998236746,0.692127254068,0.805277525023,0.80796460177,0.591879535254,0.571720280548,0.830159260497,0.925086159985,0.87217757367,0.972893772894,0.743038068828,0.697092819615,0.916603436733,0.825213460573,0.742099588976,0.5,0.608158149604,0.667286245353,0.691869458593,0.363412380659,0.928047311357,0.923271113831,0.949977467328,0.827502429543,0.870285714286,0.832455216017,0.697718934439,0.645283538896,0.506994033063,0.773876441214,0.667744053331,0.87144155656,0.696684790817,0.451524710831,0.921373121573,0.897308075773,0.540682414698,0.934034803723,0.88144031892,0.65398918188,0.788213931991,0.703993735317,0.8198186653,0.678322126161,0.700468978242,0.619631336406,0.986613631148,0.927531695101,0.609196530444,0.608950843727,0.938886308946,0.803338643087,0.784260682447,0.451705818345,0.834166071853,0.458326984611,0.91573516767,0.877149176001,0.760176842234,0.71802650487,0.866680737301,0.917509559972,0.245680197477,0.894648801459,0.88025751073,0.435794920038,0.836914757364,0.868644067797,0.85925634983,0.841014386735,0.89453155144,0.88757407091,0.737215909091,0.54849183075,0.566363314029,0.917202102804,0.596052074513,0.911012991424,0.595015237266,0.840356470633,0.902554399243,0.382743362832,0.617240494262,0.665813060179,0.687727708533,0.608660745647,0.663353214049,0.794420047858,0.807333333333,0.647647647648,0.675617461229,0.847490612859,0.526315789474,0.955265410959,0.653308852878,0.16583747927,0.649417554112,0.654962233483,0.703987078126,0.922848512773,0.0983606557377,0.843976300197,0.72028959276,0.915041677668,0.916543574594,0.782074747594,0.53802014286,0.785876993166,0.846552225778,0.675039321291,0.788104845546,0.348631578947,0.718496151065,0.828210626638,0.530300909727,0.512618735344,0.603567124099,0.708666825158,0.882799226668,0.494699514744,0.949279115946,0.649983996275,0.846295824847,0.931700074239,0.868900104914,0.689940964392,0.856628768124,0.803910691998,0.8817829827,0.865483881995,0.511518923946,0.865845289062,0.705120659211,0.718719689622,0.866605569981,0.745442708333,0.406944986344,0.856935155568,0.224783861671,0.84890288942,0.910735948241,0.777189706729,0.916590875752,0.517675254643,0.836828368284,0.718289324478,0.829811755667,0.696099312359,0.589992030536,0.483264265222,0.507493045706,0.709497206704,0.757452276871,0.864793644643,0.969676180022,0.887184479055,0.656196064895,0.565497994069,0.618067235836,0.394128055574,0.887468581688,0.787035772284,0.658670416632,0.988161463841,0.933256146564,0.667863554758,0.965361117172,0.899633034464,0.736158241758,0.751895061602,0.815995062164,0.910509885536,0.626871328406,0.689537128082,0.568762957844,0.669860046651,0.495939849624,0.832421631073,0.859393100785,0.575953079179,0.436705257165,0.633955309836,0.869684693617,0.662482168331,0.909527004361,0.783894379246,0.94566365927,0.909422440845,0.8860598345,0.570013092121,0.590654205607,0.804636697766,0.77695430083,0.723509191451,0.851173766223,0.243243243243,0.790234106643,0.0,0.712314034773,0.88026458616,0.793308550186,0.338208630485,0.348827292111,0.841132904696,0.800769230769,0.299319727891,0.805657049263,0.777233040775,0.802267422474,0.759049098077,0.67018469657,0.710024600246,0.337988826816,0.626883664858,0.750290993744,0.843477437861,0.966426048226,0.862165525825,0.922158469039,0.904366461291,0.830676389238,0.787251923201,0.881390593047,0.809675630718
1-SPFN,0.527590357052,0.766554920134,0.4216562986,0.260861611635,0.900609121973,0.482985915493,0.726262332323,0.741513809825,0.850150037509,0.848589695374,0.873351554493,0.347758887172,0.759736664,0.855609756098,0.672758423758,0.889236545682,0.497144022848,0.851851851852,0.478365613968,0.963234749092,0.877764991689,0.435268616117,0.912345627387,0.869796007896,0.880930794802,0.272500692329,0.773180592992,0.966948567484,0.674718196457,0.966120318652,0.938098680643,0.875408910122,0.79273723878,0.876833764807,0.774324535374,0.791561094752,0.698148763995,0.898770104068,0.518578461123,0.730091012514,0.712310499719,0.982115085537,0.876323676324,0.767477879086,0.815642458101,0.620680915773,0.885116481813,0.907862179884,0.93369447454,0.736987332246,0.901868136676,0.934072345391,0.797334329846,0.721834790296,0.81963381379,0.935399673736,0.0571532580997,0.836823453608,0.905641537693,0.877170077629,0.815405177961,0.979942521854,0.843180260452,0.877479206654,0.819172184886,0.836561328216,0.81663878327,0.846520898768,0.88768115942,0.856934689476,0.861841987587,0.924447529793,0.89840095725,0.583138006961,0.698381185095,0.941132637854,0.719465648855,0.829970853771,0.847114812612,0.898933085933,0.800066644452,0.546752103845,0.705688073394,0.902560183416,0.596593297574,0.951520912548,0.623910977348,0.664842873176,0.662593259583,0.951713504801,0.901510829579,0.922590705316,0.0820105820106,0.943766134096,0.871115082911,0.972041822118,0.937091092099,0.620162763661,0.757447582662,0.683142389525,0.74413835901,0.430114358323,0.700955372333,0.854674198425,0.948564593301,0.743607705779,0.895606531882,0.594485927628,0.863437159916,0.718205209749,0.789839375485,0.630079868452,0.889624976204,0.60755440476,0.959536200437,0.865967696231,0.920900692841,0.598981399469,0.704441287011,0.859781253615,0.681984844781,0.872703412073,0.485,0.679955319313,0.48885641213,0.863926404708,0.49224608664,0.882661049276,0.820247749755,0.633944388816,0.67217199402,0.785270629991,0.796684118674,0.563572098968,0.509480735251,0.819300945263,0.921825576141,0.870993674222,0.972893772894,0.684707794433,0.682908417116,0.914997103946,0.823440967996,0.715069471497,0.527233115468,0.588186676952,0.673545966229,0.64518171903,0.292416983314,0.928148959474,0.921157075256,0.941024750756,0.820986662381,0.8671886121,0.834800986263,0.670293464102,0.631532807337,0.485582528314,0.779953097415,0.65885987642,0.88725555943,0.804508491574,0.379932755265,0.915969460604,0.902708124373,0.537157757497,0.9232,0.879300698097,0.618940969445,0.773279352227,0.680545041635,0.834251621948,0.662289751766,0.649024077504,0.556493667743,0.985181790406,0.924204616344,0.536051645777,0.590327169275,0.937358802306,0.803221140563,0.792839828454,0.420384821588,0.82203985932,0.435563278309,0.911815068493,0.869334653185,0.733417953184,0.70265625,0.855515816521,0.907064661782,0.234827631406,0.878946243981,0.874254049446,0.403440017418,0.826951019452,0.867418899859,0.855002605524,0.819556242017,0.890477254634,0.885837618573,0.719573211164,0.509981497712,0.543865622517,0.914930808449,0.57758974359,0.918972162741,0.563375927453,0.8165192401,0.908138981437,0.364210526316,0.588910267623,0.661118816459,0.663368167946,0.578776600821,0.589170100059,0.784395689991,0.804525382,0.636184857424,0.67552045944,0.792934455192,0.491894913359,0.955401741116,0.649394961317,0.12070006035,0.615530372044,0.61455132662,0.693551088777,0.924291757467,0.0860215053763,0.840839527766,0.697808171138,0.914662192731,0.912104479581,0.765841813136,0.517165300417,0.76263434713,0.841046393988,0.658208434995,0.794028219056,0.322555512271,0.705032968867,0.808635369655,0.514250814332,0.527633462876,0.540328992201,0.680706383842,0.884405446649,0.489582563724,0.951497057805,0.578884627345,0.833563189569,0.932392273403,0.868887786205,0.65204642639,0.849495733126,0.784155469384,0.875786163522,0.858033686922,0.456910049529,0.860166877699,0.684962835906,0.702702702703,0.863308987624,0.837175642001,0.324198311143,0.846109675567,0.202597402597,0.81645691692,0.907068062827,0.761359885576,0.916295166588,0.483762597984,0.823560673162,0.706500956023,0.820668693009,0.69824507859,0.545045917774,0.471393034826,0.509971384061,0.687229437229,0.741569529872,0.854708056455,0.97130879978,0.881856399306,0.644734610819,0.596175064362,0.587176375405,0.368889161504,0.872925054743,0.777023584764,0.612324413001,0.989868054436,0.933701281003,0.676363636364,0.96360022869,0.898409460123,0.734479431629,0.787789266371,0.809428846322,0.910509885536,0.620987422564,0.672658803467,0.548301132578,0.633374030168,0.606696100074,0.820009350164,0.872063217359,0.502769373982,0.389933909507,0.618241725326,0.858377139022,0.644373525739,0.903134472536,0.782866836302,0.944128864724,0.909808247073,0.886624203822,0.440487002909,0.593984962406,0.794306447111,0.7547516725,0.736834094368,0.837778311709,0.19678852067,0.773379397375,0.0,0.687662225298,0.877484496203,0.795081967213,0.287623355263,0.32537788385,0.834814216478,0.783649503162,0.255005268704,0.802296038393,0.759373394967,0.779397473275,0.753379179512,0.676731793961,0.69653092006,0.298581122764,0.576531628685,0.673791376307,0.857670582835,0.966040284942,0.857098669966,0.910680947234,0.900026659557,0.81277370467,0.775767613709,0.880105017503,0.805321935751
SP-Score,0.567151474333,0.770757523863,0.445365346532,0.299869969315,0.901368601862,0.508631185342,0.736280323576,0.743320464235,0.853443947124,0.855728882104,0.874713407049,0.344938744143,0.752233459711,0.853739797913,0.661489605901,0.891473618753,0.483985458101,0.88187306249,0.516040257493,0.962664239135,0.878383136049,0.467585494234,0.913608098274,0.871712280221,0.882936557085,0.280956228517,0.780020552977,0.967115513024,0.680379974201,0.964665052516,0.938565396405,0.879217113965,0.795747286977,0.880871754144,0.780467043191,0.792611847584,0.721648920568,0.900477169793,0.467633852615,0.745567296948,0.71503078027,0.981896983141,0.873540039472,0.780328820537,0.820250607581,0.62393957006,0.889948566014,0.908917604497,0.935420530006,0.730762470069,0.905006934984,0.93491608768,0.814316515572,0.727670564127,0.820593947114,0.929821048989,0.0587225583894,0.833469384798,0.900943298491,0.880868780764,0.806077359224,0.980500542231,0.84744169489,0.874413046783,0.82465561205,0.840032111193,0.815462248778,0.851879936814,0.880582965368,0.861362933926,0.864291503408,0.922530251819,0.897815361841,0.599631921861,0.706010193047,0.940782253402,0.729962902991,0.835458797962,0.850800130578,0.897633749257,0.805060312779,0.551299836416,0.708428356224,0.902818994404,0.617304021561,0.952805730301,0.633683076994,0.680059347386,0.697655093518,0.953420404109,0.904887809993,0.922719189106,0.0855455208903,0.943733213553,0.868984743669,0.971877714067,0.936855405204,0.634607715917,0.762403466952,0.687215447827,0.745150004666,0.439229364592,0.70778255608,0.869527634991,0.949400362486,0.75570982034,0.899528981721,0.602192875423,0.860348412922,0.731172639472,0.796937578319,0.624393489384,0.893072473522,0.618922379545,0.961201070093,0.861475154902,0.922769187,0.613806293506,0.692344127616,0.862914550996,0.694156979353,0.880692211182,0.490440925873,0.694007701972,0.509221398228,0.868965150661,0.543214090894,0.882661049276,0.829731074396,0.639471312781,0.682149624044,0.795274077507,0.802324360222,0.577725817111,0.5406005079,0.82473010288,0.923455868063,0.871585623946,0.972893772894,0.71387293163,0.690000618365,0.915800270339,0.824327214284,0.728584530237,0.513616557734,0.598172413278,0.670416105791,0.668525588812,0.327914681987,0.928098135416,0.922214094543,0.945501109042,0.824244545962,0.868737163193,0.83362810114,0.684006199271,0.638408173117,0.496288280689,0.776914769315,0.663301964875,0.879348557995,0.750596641195,0.415728733048,0.918671291088,0.900008100073,0.538920086097,0.928617401862,0.880370508509,0.636465075662,0.780746642109,0.692269388476,0.827035143624,0.670305938964,0.674746527873,0.588062502074,0.985897710777,0.925868155723,0.572624088111,0.599639006501,0.938122555626,0.803279891825,0.788550255451,0.436045319966,0.828102965587,0.44694513146,0.913775118081,0.873241914593,0.746797397709,0.710341377435,0.861098276911,0.912287110877,0.240253914442,0.88679752272,0.877255780088,0.419617468728,0.831932888408,0.868031483828,0.857129477677,0.830285314376,0.892504403037,0.886705844742,0.728394560127,0.529236664231,0.555114468273,0.916066455626,0.586820909051,0.914992577082,0.579195582359,0.828437855367,0.90534669034,0.373476944574,0.603075380942,0.663465938319,0.67554793824,0.593718673234,0.626261657054,0.789407868925,0.805929357667,0.641916252536,0.675568960335,0.820212534026,0.509105351417,0.955333576037,0.651351907097,0.14326876981,0.632473963078,0.634756780051,0.698769083452,0.92357013512,0.092191080557,0.842407913982,0.709048881949,0.914851935199,0.914324027087,0.773958280365,0.527592721638,0.774255670148,0.843799309883,0.666623878143,0.791066532301,0.335593545609,0.711764559966,0.818422998147,0.52227586203,0.52012609911,0.57194805815,0.6946866045,0.883602336658,0.492141039234,0.950388086876,0.61443431181,0.839929507208,0.932046173821,0.86889394556,0.670993695391,0.853062250625,0.794033080691,0.878784573111,0.861758784458,0.484214486738,0.86300608338,0.695041747559,0.710711196162,0.864957278803,0.791309175167,0.365571648744,0.851522415568,0.213690632134,0.83267990317,0.908902005534,0.769274796152,0.91644302117,0.500718926314,0.830194520723,0.71239514025,0.825240224338,0.697172195475,0.567518974155,0.477328650024,0.508732214884,0.698363321967,0.749510903372,0.859750850549,0.970492489901,0.88452043918,0.650465337857,0.580836529216,0.60262180562,0.381508608539,0.880196818215,0.782029678524,0.635497414817,0.989014759138,0.933478713784,0.672113595561,0.964480672931,0.899021247294,0.735318836694,0.769842163987,0.812711954243,0.910509885536,0.623929375485,0.681097965775,0.558532045211,0.65161703841,0.551317974849,0.826215490618,0.865728159072,0.53936122658,0.413319583336,0.626098517581,0.86403091632,0.653427847035,0.906330738448,0.783380607774,0.944896261997,0.909615343959,0.886342019161,0.505250047515,0.592319584007,0.799471572439,0.765852986665,0.73017164291,0.844476038966,0.220015881956,0.781806752009,0.0,0.699988130036,0.878874541181,0.794195258699,0.312915992874,0.337102587981,0.837973560587,0.792209366965,0.277162498298,0.803976543828,0.768303217871,0.790832447875,0.756214138794,0.673458245265,0.703277760153,0.31828497479,0.601707646771,0.712041185025,0.850574010348,0.966233166584,0.859632097895,0.916419708137,0.902196560424,0.821725046954,0.781509768455,0.880747805275,0.807498783234
TC,0.13438735177865613,0.2193939393939394,0.022132796780684104,0.21530382595648911,0.5541069100391134,0.09068627450980392,0.21887966804979253,0.44155844155844154,0.5998201438848921,0.42857142857142855,0.5215889464594128,0.15578947368421053,0.34496644295302015,0.68,0.2530562347188264,0.3465818759936407,0.0,0.7727272727272727,0.14942528735632185,0.7741935483870968,0.2785714285714286,0.049429657794676805,0.6016713091922006,0.5164179104477612,0.5857519788918206,0.23031727379553465,0.5614035087719298,0.8477272727272728,0.43149284253578735,0.40336134453781514,0.6757679180887372,0.47029702970297027,0.6434878587196468,0.506896551724138,0.37055837563451777,0.2043132803632236,0.16478555304740405,0.691358024691358,0.05473856209150327,0.46405228758169936,0.34563106796116505,0.8307692307692308,0.4189473684210526,0.21306209850107066,0.5408163265306123,0.14516129032258066,0.5980066445182725,0.545,0.8576642335766423,0.3977272727272727,0.5063291139240507,0.7441558441558441,0.22011661807580174,0.11715481171548117,0.6425,0.6822429906542056,0.0,0.27046783625730997,0.7751937984496124,0.5135658914728682,0.40564635958395245,0.7791411042944786,0.3931034482758621,0.7024291497975709,0.36009732360097324,0.3136020151133501,0.3884093711467324,0.49056603773584906,0.6549707602339181,0.16052060737527116,0.47983310152990266,0.7161458333333334,0.6796116504854369,0.05572289156626506,0.4918032786885246,0.8571428571428571,0.44279176201373,0.4741235392320534,0.4019607843137255,0.34594594594594597,0.20916905444126074,0.06506849315068493,0.5097276264591439,0.7678571428571429,0.12652705061082026,0.6682242990654206,0.17784877529286475,0.2625482625482625,0.2222222222222222,0.5377358490566038,0.2974683544303797,0.6151832460732984,0.0,0.6237113402061856,0.6503703703703704,0.7953890489913544,0.795774647887324,0.4877250409165303,0.39669421487603307,0.29607250755287007,0.26246719160104987,0.26288659793814434,0.2471264367816092,0.23303834808259588,0.7973484848484849,0.4,0.3493150684931507,0.407514450867052,0.4236453201970443,0.21234309623430964,0.34807692307692306,0.291970802919708,0.430952380952381,0.1968019680196802,0.6877828054298643,0.6923076923076923,0.6923076923076923,0.31362467866323906,0.0,0.5561665357423409,0.3549257759784076,0.36590038314176243,0.14112903225806453,0.3475177304964539,0.15526315789473685,0.15752212389380532,0.25594149908592323,0.5554435483870968,0.13307984790874525,0.026033690658499236,0.18518518518518517,0.5071428571428571,0.7879746835443038,0.0815006468305304,0.12287104622871046,0.3743455497382199,0.7457627118644068,0.22896634615384615,0.8723404255319149,0.1782178217821782,0.5135520684736091,0.5135542168674698,0.13333333333333333,0.4143646408839779,0.3368421052631579,0.15363128491620112,0.45714285714285713,0.10606060606060606,0.0036429872495446266,0.7272727272727273,0.5946969696969697,0.37185929648241206,0.3058823529411765,0.510548523206751,0.6265432098765432,0.26052631578947366,0.13197278911564625,0.04576271186440678,0.44593202883625127,0.23908045977011494,0.5150273224043715,0.010526315789473684,0.14383561643835616,0.5833333333333334,0.7430555555555556,0.35353535353535354,0.61875,0.3875,0.2197986577181208,0.29318181818181815,0.40700218818380746,0.43829787234042555,0.1588235294117647,0.3813559322033898,0.006756756756756757,0.8899082568807339,0.3779527559055118,0.09722222222222222,0.035211267605633804,0.5340751043115438,0.3672566371681416,0.28217821782178215,0.3084967320261438,0.08053691275167785,0.09898762654668167,0.7181208053691275,0.35892857142857143,0.19910714285714284,0.19708029197080293,0.5171849427168577,0.5307167235494881,0.0,0.4831081081081081,0.38513513513513514,0.02843601895734597,0.42778993435448576,0.7401574803149606,0.3131991051454139,0.35232067510548526,0.263030303030303,0.6307803468208093,0.2401656314699793,0.09475465313028765,0.11739130434782609,0.6968325791855203,0.21458333333333332,0.4675324675324675,0.16202090592334495,0.3635057471264368,0.6,0.09740259740259741,0.07508833922261485,0.05637982195845697,0.06302521008403361,0.031088082901554404,0.27514792899408286,0.5,0.5418994413407822,0.38588235294117645,0.31061806656101426,0.14910714285714285,0.0,0.6549295774647887,0.18134715025906736,0.08575380359612725,0.18967229394240318,0.09137055837563451,0.3790186125211506,0.6193029490616622,0.0,0.12276214833759591,0.5003553660270078,0.677037037037037,0.3416370106761566,0.2435344827586207,0.13919129082426127,0.3411764705882353,0.48299319727891155,0.10737179487179487,0.391025641025641,0.1533980582524272,0.3125,0.3871794871794872,0.10088148873653281,0.03125,0.1340782122905028,0.13204225352112675,0.27044025157232704,0.004531722054380665,0.6353591160220995,0.16531604538087522,0.08677685950413223,0.8353909465020576,0.5340751043115438,0.06434599156118144,0.4818355640535373,0.263653483992467,0.2699724517906336,0.5809806835066865,0.055984555984555984,0.32314923619271446,0.46835443037974683,0.3875968992248062,0.6293183940242764,0.18744228993536471,0.0047789725209080045,0.09558823529411764,0.0,0.3172839506172839,0.6918819188191881,0.004573170731707317,0.5345622119815668,0.21770334928229665,0.4741532976827095,0.13725490196078433,0.26732673267326734,0.47670639219934996,0.07774390243902439,0.22193877551020408,0.04523107177974434,0.463302752293578,0.19888475836431227,0.5198807157057654,0.7554347826086957,0.5091463414634146,0.1574468085106383,0.2265625,0.12243150684931507,0.0,0.5893536121673004,0.3564102564102564,0.14872364039955605,0.8814814814814815,0.6498855835240275,0.4152542372881356,0.8207681365576103,0.5357142857142857,0.4548049476688868,0.15839860748476936,0.18971061093247588,0.7222222222222222,0.22874493927125505,0.2593516209476309,0.19516129032258064,0.10625,0.109107303877367,0.255,0.43033509700176364,0.10352941176470588,0.025925925925925925,0.11573236889692586,0.35748031496062993,0.26523297491039427,0.47413793103448276,0.2633587786259542,0.706766917293233,0.6569767441860465,0.7617328519855595,0.033156498673740056,0.0,0.5191146881287726,0.4692058346839546,0.329608938547486,0.7815533980582524,0.07272727272727272,0.32653061224489793,0.0,0.30066815144766146,0.52679307502061,0.6192307692307693,0.04261645193260654,0.01327433628318584,0.22916666666666666,0.3147208121827411,0.12371134020618557,0.42105263157894735,0.25597874224977857,0.27932960893854747,0.4460694698354662,0.33540372670807456,0.35523613963039014,0.09691629955947137,0.13449564134495642,0.13851590106007067,0.4170096021947874,0.7602739726027398,0.6540469973890339,0.4410480349344978,0.6735751295336787,0.44610778443113774,0.4079601990049751,0.5964912280701754,0.3707112970711297
