Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
TL079,DefaultProbCons,0.212871287129,0.226315789474,0.219593538301,0.0694444444444,0.212871287129,0.865079365079,0.869500484864,0.90625,3.0,126.0,109.0,98.0,0.178715397901,0.320105820106,4.48148148148,2.0,0.212871287129,0.226315789474,0.0694444444444,0.865079365079,7.33333333333
SF263,DefaultProbCons,0.586018839861,0.569638554217,0.577828697039,0.177570093458,0.586018839861,0.921465968586,0.830240634165,0.916666666667,8.0,191.0,176.0,113.0,0.130621883753,0.510471204188,5.90909090909,3.0,0.586018839861,0.569638554217,0.177570093458,0.921465968586,20.9375
SF185,DefaultProbCons,0.72808988764,0.753488372093,0.740789129867,0.442307692308,0.72808988764,0.835616438356,0.778929961678,0.928571428571,7.0,73.0,61.0,59.0,0.150101631581,0.348336594912,4.81081081081,1.0,0.72808988764,0.753488372093,0.442307692308,0.835616438356,9.57142857143
SF169,DefaultProbCons,0.778899303052,0.805084044051,0.791991673551,0.410810810811,0.778899303052,0.879310344828,0.804968510509,0.904,14.0,232.0,204.0,165.0,0.0415187400804,0.360837438424,4.56031128405,3.0,0.778899303052,0.805084044051,0.410810810811,0.879310344828,14.2142857143
SF054,DefaultProbCons,0.791379994708,0.862566247251,0.826973120979,0.389937106918,0.791379994708,0.696132596685,0.759799173129,0.887254901961,17.0,543.0,378.0,270.0,0.0615988962532,0.556277759723,8.17675159236,3.0,0.791379994708,0.862566247251,0.389937106918,0.696132596685,30.7058823529
SF175,DefaultProbCons,0.735408560311,0.825327510917,0.780368035614,0.620689655172,0.735408560311,0.862903225806,0.632431818956,0.704225352113,3.0,124.0,107.0,102.0,0.0783815494666,0.241935483871,6.42857142857,4.0,0.735408560311,0.825327510917,0.620689655172,0.862903225806,4.0
SF032,DefaultProbCons,0.489616332277,0.507479022255,0.498547677266,0.158940397351,0.489616332277,0.882352941176,0.815565714707,0.937888198758,6.0,391.0,345.0,272.0,0.145015761254,0.387468030691,5.41071428571,2.0,0.489616332277,0.507479022255,0.158940397351,0.882352941176,16.6666666667
SF117,DefaultProbCons,0.465909090909,0.465909090909,0.465909090909,0.317829457364,0.465909090909,0.992932862191,0.818241190334,0.956043956044,3.0,283.0,281.0,273.0,0.379815525196,0.255594817432,8.68,2.0,0.465909090909,0.465909090909,0.317829457364,0.992932862191,21.5
SF108,DefaultProbCons,0.185328185328,0.191235059761,0.188281622545,0.0622950819672,0.185328185328,0.92972972973,0.819956140351,0.850877192982,3.0,555.0,516.0,456.0,0.253779791238,0.348948948949,6.67816091954,2.0,0.185328185328,0.191235059761,0.0622950819672,0.92972972973,41.5
TL272,DefaultProbCons,0.49756097561,0.587896253602,0.542728614606,0.275362318841,0.49756097561,0.725663716814,0.864721494374,0.916666666667,4.0,113.0,82.0,77.0,0.0671023582939,0.349557522124,4.51428571429,2.0,0.49756097561,0.587896253602,0.275362318841,0.725663716814,7.625
SF038,DefaultProbCons,0.830769230769,0.86170212766,0.846235679214,0.757352941176,0.830769230769,0.963525835866,0.686902947154,0.7265625,3.0,329.0,317.0,292.0,0.0396431541769,0.147922998987,3.65,1.5,0.830769230769,0.86170212766,0.757352941176,0.963525835866,4.16666666667
SF077,DefaultProbCons,0.596939995219,0.652639832723,0.624789913971,0.183908045977,0.596939995219,0.802631578947,0.763470643488,0.895833333333,9.0,228.0,183.0,150.0,0.0614809536563,0.417153996101,5.21951219512,3.0,0.596939995219,0.652639832723,0.183908045977,0.802631578947,13.1111111111
SF270,DefaultProbCons,0.845592070944,0.875269978402,0.860431024673,0.674418604651,0.845592070944,0.928571428571,0.748275757806,0.804469273743,5.0,238.0,221.0,209.0,0.030700162866,0.156302521008,4.32558139535,3.0,0.845592070944,0.875269978402,0.674418604651,0.928571428571,3.9
SF061,DefaultProbCons,0.562401263823,0.57698541329,0.569693338557,0.293333333333,0.562401263823,0.855855855856,0.791706587947,0.879310344828,5.0,111.0,95.0,84.0,0.139784741136,0.333333333333,6.60714285714,4.0,0.562401263823,0.57698541329,0.293333333333,0.855855855856,10.6
TL332,DefaultProbCons,0.151351351351,0.185430463576,0.168390907464,0.0,0.151351351351,0.857954545455,0.869749045281,0.936170212766,3.0,176.0,151.0,120.0,0.272569753438,0.467803030303,10.2916666667,2.0,0.151351351351,0.185430463576,0.0,0.857954545455,23.5
SF174,DefaultProbCons,0.954081632653,0.994680851064,0.974381241858,0.984375,0.954081632653,0.903614457831,0.648857526882,0.677419354839,3.0,83.0,75.0,75.0,0.0945397122994,0.160642570281,5.71428571429,6.0,0.954081632653,0.994680851064,0.984375,0.903614457831,4.66666666667
SF296,DefaultProbCons,0.470254957507,0.535483870968,0.502869414237,0.245762711864,0.470254957507,0.858024691358,0.716047482211,0.802083333333,3.0,162.0,139.0,131.0,0.040104738718,0.22633744856,4.78260869565,4.0,0.470254957507,0.535483870968,0.245762711864,0.858024691358,0.666666666667
