Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,Ald_Xan_dh_1,kunitz,rep,cyt5,blmb,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,uce,int,aadh,fer2,p450,NTP_transferase,RuBisCO_large,annexin,fbpase,DNA_PPF,PH,ghf1,intb,cat3,HATPase_c,ferritin,TNF,RGS,asp,BIR,aldosered,lyase_1,Fapy_DNA_glyco,tms,Ribosomal_L6_D,AAA,RuBisCO_large_NC,lipocalin,bac_luciferase,ngf,LIM,TyrKc,gtp,toxin_2,serpin,MHC_II_beta_NC,hom,cytprime,cryst,phoslip,rhv,glnasn,Ald_Xan_dh_2,CPSase_L_chain,Glyco_hydro_18_D2,EFTU_2,ABC_tran,alpha-amylase,toxin,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,proteasome,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,grs,ltn,cyt3,HGTP_anticodon,seatoxin,response_reg,tim,igV,hip,kinase,Acetyltransf,igvar-h,CH,adk,porin,OTCace,ghf33,MoCF_biosynth,HTH_AraC,gluts,igvar-l,sh2,cpa,rrm,ghf10,MM_CoA_mutase,pec_lyase,fn3,ghf11,slectin,cbp,ins,dpo1,alpha-amylase_C,Asp_Glu_race_D,hpr,ets,TIG,Phage_integrase,ace,PDZ,DHOdehase,helicase_C,xia,mycin,fkbp,phc,KISc,histone,ghf5,pdc,sermam,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,sdr,Cyclodex_gly_tran,sh3,alpha-amylase_NC,CBM_20,igI,Levi_coat,FAD-oxidase_NC,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,aat,profilin,peroxidase,bromodomain,GLA,cox,TIL,Glyco_hydro_18,gpdh,glob,parv,cah,DEATH,molybdopterin,subt,KAS,sti,hla,fer4,ChtBD,ricin,pot,actin,bv,Haloperoxidase,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,blm,ghf18,ndk,lipase,PK,az,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,Cu_amine_oxid,rub,TMV_coat,mofe,ldh,Glyco_hydro_18_D1,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,ATP-synt,trfl,egf,rnasemam,fabp,cys,il8,RRF,Rhodanese,Pro_CA,RuBisCO_large_N,Lum_binding
1-SPFP,0.9744597249510001,1.0,0.961912164788,0.958351409978,0.974103585657,0.901060070671,0.772884283247,0.872437357631,0.940146450175,0.938596491228,0.880079286422,0.507136060894,0.738122827346,0.882787750792,0.787878787879,0.917210710569,0.927594070696,0.892664939207,0.799608172404,0.814643593428,0.852678571429,0.966967902773,1.0,0.990120746432,1.0,0.562337921404,0.971457489879,0.628815628816,0.771594684385,0.843155031732,1.0,0.865694551036,0.916073968706,0.90216372601,0.966216216216,0.931140801644,0.898773006135,0.930918846412,0.968031189084,0.951851851852,0.939698492462,0.972418509232,0.784361083855,0.915306915307,0.981042654028,0.996683250415,0.957358490566,0.866253321523,0.906547531859,0.944968709645,0.969990319458,0.951417004049,0.843191196699,0.744318181818,0.927175843694,0.894326900721,0.987571206629,0.8947928765,0.793960923623,0.728070175439,0.992907801418,0.790898391526,0.689875557416,0.917537108301,0.773443983402,0.914027149321,0.842072794571,0.801565377532,0.937888198758,0.929008567931,0.917470881864,0.94956837801,0.875885496499,0.82754491018,0.711464147703,0.976020193521,0.996644295302,0.965517241379,0.940758293839,0.967697594502,0.9490785645,0.967936117936,0.96784996651,0.898224852071,0.791469194313,0.897525135344,0.957959602876,0.843426883309,0.90297990298,0.886746987952,0.837635019898,0.97029523637,0.661174047374,0.868637110016,0.891879562044,0.87291849255,0.964658993859,0.835355285962,0.869404186795,0.654586636467,0.916237555784,0.854080791426,0.854368932039,1.0,0.923360984747,0.951945729613,0.876268914001,0.912589334799,0.89295433928,0.917274939173,0.885093167702,0.833458364591,0.456585081585,0.913773796193,0.919088766693,0.83267054145,0.96511627907,0.883185840708,0.61073731427,0.639344262295,0.996483001172,0.95537525355,0.96986970684,0.682926829268,0.855734895015,0.822580645161,0.77734119188,0.867125984252,0.995374488525,0.943164362519,0.953301127214,0.943555260915,0.937216828479,0.722352941176,0.700041203131,0.808654496281,0.909478800972,0.993555316864,0.997286295794,0.984984984985,0.995269631031,0.660520607375,0.929054054054,0.941855099216,0.948126801153,0.879456706282,0.817519291226,0.969921836351,0.91843902439,0.693499194681,0.871739130435,0.698146828225,0.893009985735,0.930751173709,0.940695296524,0.991173225451,0.776918500892,0.905141843972,0.832764716829,0.941653160454,0.901180438449,0.99512195122,0.857142857143,0.787557603687,0.824773413897,0.850461893764,0.943861546782,0.963660133028,0.985320284698,0.87206728641,0.855716878403,0.904180732277,0.801972000602,0.903565821933,0.839775561097,1.0,0.83660573234,0.990361445783,0.913761837598,0.965789473684,0.95623987034,0.884773662551,0.817304027443,1.0,0.911214953271,0.888939880679,0.962732919255,0.86589545844,0.924077328647,0.832386363636,0.971643035863,0.547705002579,0.986175115207,0.992771628642,0.980654761905,0.812314285714,0.968882602546,0.921052631579,0.841563455043,0.864523762571,0.917372881356,0.79702970297,0.930307198533,0.92602739726,0.872716558633,0.915456238361,0.606116207951,0.879757308329,0.991769547325,0.953362255965,0.864644107351,0.893205691723,0.846207865169,0.944052145573,0.727042110604,0.949720670391,0.856766256591,0.942777777778,0.949340144742,0.967901234568,0.904440919905,0.976581904199,0.819471624266,0.892941176471,0.962532890974,0.924654979485,0.868128738251,0.880952380952,0.904805914972,0.895033860045,0.956469886702,0.837890625
1-SPFN,0.203112203112,0.353227158424,0.959302325581,0.938402718777,0.968316831683,0.647208121827,0.774221453287,0.624185136897,0.854703328509,0.935860058309,0.877470355731,0.446025104603,0.529069767442,0.862745098039,0.692756036636,0.890174471993,0.905902004454,0.843249858784,0.795932581139,0.536294468435,0.783857729138,0.956682595961,0.996615189338,0.980434782609,0.37012987013,0.382600434311,0.862974285201,0.547872340426,0.713517665131,0.35618536959,0.998962655602,0.811510791367,0.842931937173,0.891160843664,0.80487804878,0.903890921184,0.723456790123,0.914361001318,0.950976637304,0.586757990868,0.366187989556,0.9369646387,0.682875542121,0.833097595474,0.9703125,0.96935483871,0.936162361624,0.854521625164,0.896566710126,0.942067736185,0.914233576642,0.90792015454,0.828378378378,0.481209381181,0.930118603486,0.732736451091,0.987571206629,0.867912129178,0.723300970874,0.638461538462,0.507246376812,0.631381146257,0.53543494015,0.910860469347,0.69037037037,0.885964912281,0.826271186441,0.728756802009,0.762626262626,0.892941176471,0.876908396947,0.932203389831,0.805539680725,0.831528279182,0.682876571193,0.975199663724,0.20625,0.833333333333,0.782266009852,0.87835308796,0.825738396624,0.961205319019,0.603340292276,0.901425178147,0.486880466472,0.821883852691,0.950863123556,0.749835850295,0.899240855763,0.851851851852,0.829990986931,0.969241903383,0.5625,0.799093655589,0.692672902494,0.492338111715,0.950930083387,0.772435897436,0.848232521603,0.338209479228,0.886710963455,0.534296028881,0.72131147541,0.331168831169,0.908052631579,0.95110884238,0.858832363432,0.918649695628,0.827692523299,0.889450623525,0.717884130982,0.596030042918,0.202193548387,0.914798206278,0.904872389791,0.664064405953,0.920943134535,0.620261031697,0.565110246433,0.382978723404,0.990675990676,0.918128654971,0.967506092608,0.184615384615,0.799013070152,0.783410138249,0.679450486548,0.638405797101,0.968831168831,0.935975609756,0.910769230769,0.939019792648,0.79516749039,0.682222222222,0.416727986264,0.789699570815,0.885168344416,0.993288590604,0.890909090909,0.953488372093,0.977695167286,0.629132231405,0.888529886914,0.853260869565,0.923292797007,0.515422885572,0.631561516807,0.967051395876,0.887359788859,0.421608558422,0.854100106496,0.61954459203,0.868238557559,0.292836041359,0.921843687375,0.990080822924,0.739524348811,0.90594498669,0.788685230878,0.938610662359,0.861935483871,0.940092165899,0.782608695652,0.614527148508,0.795918367347,0.693176470588,0.942230860598,0.9517225135,0.984444444444,0.850604490501,0.492428198433,0.81852374236,0.736045869025,0.844477048837,0.835089894606,1.0,0.717159992262,0.992753623188,0.886434714621,0.965789473684,0.584447746409,0.146657571623,0.683416551578,0.991428571429,0.155626496409,0.862038273253,0.941295546559,0.668541184254,0.933925399645,0.792963464141,0.972860125261,0.439205955335,0.972727272727,0.992995933122,0.933097345133,0.740062992946,0.970254957507,0.91152336782,0.854343566297,0.824990590892,0.886689419795,0.626459143969,0.880260303688,0.816425120773,0.849197247706,0.896425966448,0.553322166387,0.871584699454,0.983673469388,0.945161290323,0.779296875,0.8768741315,0.696934644303,0.922505307856,0.654636820466,0.949720670391,0.822784810127,0.937569060773,0.945315811785,0.5,0.840456890199,0.956335418114,0.646468544963,0.906268656716,0.961597805589,0.910727406319,0.861260243006,0.889916743756,0.530911062907,0.649467649468,0.871265616513,0.7539543058
SP-Score,0.588785964032,0.676613579212,0.960607245185,0.948377064377,0.97121020867,0.774134096249,0.773552868267,0.748311247264,0.897424889342,0.937228274769,0.878774821077,0.476580582748,0.633596297394,0.872766424416,0.740317412257,0.903692591281,0.916748037575,0.867957398995,0.797770376772,0.675469030931,0.818268150283,0.961825249367,0.998307594669,0.985277764521,0.685064935065,0.472469177857,0.91721588754,0.588343984621,0.742556174758,0.599670200661,0.999481327801,0.838602671201,0.879502952939,0.896662284837,0.885547132498,0.917515861414,0.811114898129,0.922639923865,0.959503913194,0.76930492136,0.652943241009,0.954691573966,0.733618312988,0.87420225539,0.975677577014,0.983019044562,0.946760426095,0.860387473344,0.901557120992,0.943518222915,0.94211194805,0.929668579294,0.835784787539,0.6127637815,0.92864722359,0.813531675906,0.987571206629,0.881352502839,0.758630947249,0.68326585695,0.750077089115,0.711139768892,0.612655248783,0.914198788824,0.731907176886,0.899996030801,0.834171990506,0.765161089771,0.850257230692,0.910974872201,0.897189639405,0.94088588392,0.840712588612,0.829536594681,0.697170359448,0.975609928623,0.601447147651,0.899425287356,0.861512151846,0.923025341231,0.887408480562,0.964570718478,0.785595129393,0.899825015109,0.639174830393,0.859704494018,0.954411363216,0.796631366802,0.901110379371,0.869299419902,0.833813003414,0.969768569877,0.611837023687,0.833865382803,0.792276232269,0.682628302133,0.957794538623,0.803895591699,0.858818354199,0.496398057847,0.90147425962,0.694188410154,0.787840203724,0.665584415584,0.915706808163,0.951527285997,0.867550638716,0.915619515214,0.86032343129,0.903362781349,0.801488649342,0.714744203755,0.329389314986,0.914286001235,0.911980578242,0.748367473701,0.943029706803,0.751723436202,0.587923780351,0.51116149285,0.993579495924,0.93675195426,0.968687899724,0.433771106942,0.827373982584,0.802995391705,0.728395839214,0.752765890677,0.982102828678,0.939569986138,0.932035178992,0.941287526782,0.866192159434,0.702287581699,0.558384594698,0.799177033548,0.897323572694,0.993421953734,0.944097693351,0.969236678539,0.986482399159,0.64482641939,0.908791970484,0.89755798439,0.93570979908,0.697439795927,0.724540404017,0.968486616114,0.902899406624,0.557553876552,0.862919618466,0.658845710128,0.880624271647,0.611793607534,0.931269491949,0.990627024187,0.758221424852,0.905543415331,0.810724973853,0.940131911406,0.88155796116,0.967607058559,0.819875776398,0.701042376097,0.810345890622,0.771819182176,0.94304620369,0.957691323264,0.984882364571,0.861335888455,0.674072538418,0.861352237319,0.769008934813,0.874021435385,0.837432727852,1.0,0.776882862301,0.991557534486,0.90009827611,0.965789473684,0.770343808375,0.515715617087,0.75036028951,0.995714285714,0.53342072484,0.875489076966,0.952014232907,0.767218321347,0.929001364146,0.812674913889,0.972251580562,0.493455478957,0.979451193967,0.992883780882,0.956876053519,0.77618863933,0.969568780027,0.9162879997,0.84795351067,0.844757176732,0.902031150576,0.71174442347,0.90528375111,0.871226259017,0.86095690317,0.905941102405,0.579719187169,0.875671003891,0.987721508356,0.949261773144,0.821970491176,0.885039911612,0.771571254736,0.933278726714,0.690839465535,0.949720670391,0.839775533359,0.940173419276,0.947327978264,0.733950617284,0.872448905052,0.966458661157,0.732970084615,0.899604916594,0.962065348281,0.917691192902,0.864694490629,0.885434562354,0.717858488939,0.772250754756,0.913867751608,0.7959224654
TC,0.13662790697674418,0.0315789473684,0.883458646617,0.793969849246,0.833333333333,0.333333333333,0.345238095238,0.338181818182,0.69696969697,0.830508474576,0.722891566265,0.173913043478,0.49299719888,0.774193548387,0.358695652174,0.590361445783,0.722772277228,0.557823129252,0.396551724138,0.268537074148,0.684210526316,0.809667673716,0.990566037736,0.94099378882,0.259541984733,0.0,0.677932405567,0.276729559748,0.444444444444,0.220930232558,0.994186046512,0.592356687898,0.654411764706,0.660427807487,0.6,0.676923076923,0.576540755467,0.812030075188,0.845614035088,0.393617021277,0.321637426901,0.784355179704,0.182266009852,0.785714285714,0.925925925926,0.80487804878,0.742671009772,0.489473684211,0.4,0.786432160804,0.847368421053,0.623188405797,0.713178294574,0.0165745856354,0.669117647059,0.476084538376,0.969604863222,0.709134615385,0.6,0.466666666667,0.05,0.320634920635,0.0810419681621,0.571428571429,0.481203007519,0.790697674419,0.677740863787,0.579545454545,0.521739130435,0.791139240506,0.572413793103,0.84289276808,0.3,0.527472527473,0.371517027864,0.89349112426,0.0314685314685,0.689655172414,0.565714285714,0.647058823529,0.504273504274,0.838461538462,0.253378378378,0.698630136986,0.015625,0.408914728682,0.770750988142,0.449152542373,0.652173913043,0.632653061224,0.335714285714,0.88416988417,0.248120300752,0.595238095238,0.251121076233,0.259259259259,0.792592592593,0.577586206897,0.357723577236,0.181034482759,0.727002967359,0.365284974093,0.5,0.117647058824,0.733905579399,0.696721311475,0.516129032258,0.812297734628,0.279279279279,0.724458204334,0.594405594406,0.379052369077,0.0,0.770833333333,0.795620437956,0.13612565445,0.768115942029,0.454237288136,0.148760330579,0.146551724138,0.965909090909,0.797872340426,0.896551724138,0.121212121212,0.588235294118,0.59595959596,0.482972136223,0.435483870968,0.913705583756,0.840707964602,0.849557522124,0.804469273743,0.650602409639,0.454545454545,0.177377892031,0.616071428571,0.487804878049,0.981333333333,0.810344827586,0.842857142857,0.93956043956,0.369230769231,0.619047619048,0.671957671958,0.820652173913,0.253424657534,0.160883280757,0.890988372093,0.459770114943,0.0689223057644,0.555555555556,0.142857142857,0.730769230769,0.138489208633,0.75,0.920792079208,0.553623188406,0.771573604061,0.407982261641,0.84375,0.621776504298,0.860655737705,0.540540540541,0.501533742331,0.584615384615,0.487922705314,0.835195530726,0.517647058824,0.935779816514,0.667896678967,0.137096774194,0.632315521628,0.311224489796,0.675,0.570652173913,1.0,0.301075268817,0.953488372093,0.717948717949,0.911764705882,0.246753246753,0.0045871559633,0.376146788991,0.949367088608,0.0492424242424,0.662857142857,0.863157894737,0.333333333333,0.730337078652,0.504504504505,0.895131086142,0.184049079755,0.927152317881,0.973392461197,0.866,0.402173913043,0.83950617284,0.571428571429,0.485981308411,0.497607655502,0.704142011834,0.446153846154,0.709459459459,0.662337662338,0.680250783699,0.752988047809,0.0,0.758039816233,0.944444444444,0.892405063291,0.592452830189,0.578378378378,0.497058823529,0.704545454545,0.398576512456,0.86170212766,0.5,0.816753926702,0.878712871287,0.401162790698,0.706930693069,0.912981455064,0.279411764706,0.65671641791,0.753521126761,0.679104477612,0.519480519481,0.752688172043,0.395833333333,0.374485596708,0.676056338028,0.609090909091
Modeler,0.974459724950884,1.0,0.961912164788,0.958351409978,0.974103585657,0.901060070671,0.772884283247,0.872437357631,0.940146450175,0.938596491228,0.880079286422,0.507136060894,0.738122827346,0.882787750792,0.787878787879,0.917210710569,0.927594070696,0.892664939207,0.799608172404,0.814643593428,0.852678571429,0.966967902773,1.0,0.990120746432,1.0,0.562337921404,0.971457489879,0.628815628816,0.771594684385,0.843155031732,1.0,0.865694551036,0.916073968706,0.90216372601,0.966216216216,0.931140801644,0.898773006135,0.930918846412,0.968031189084,0.951851851852,0.939698492462,0.972418509232,0.784361083855,0.915306915307,0.981042654028,0.996683250415,0.957358490566,0.866253321523,0.906547531859,0.944968709645,0.969990319458,0.951417004049,0.843191196699,0.744318181818,0.927175843694,0.894326900721,0.987571206629,0.8947928765,0.793960923623,0.728070175439,0.992907801418,0.790898391526,0.689875557416,0.917537108301,0.773443983402,0.914027149321,0.842072794571,0.801565377532,0.937888198758,0.929008567931,0.917470881864,0.94956837801,0.875885496499,0.82754491018,0.711464147703,0.976020193521,0.996644295302,0.965517241379,0.940758293839,0.967697594502,0.9490785645,0.967936117936,0.96784996651,0.898224852071,0.791469194313,0.897525135344,0.957959602876,0.843426883309,0.90297990298,0.886746987952,0.837635019898,0.97029523637,0.661174047374,0.868637110016,0.891879562044,0.87291849255,0.964658993859,0.835355285962,0.869404186795,0.654586636467,0.916237555784,0.854080791426,0.854368932039,1.0,0.923360984747,0.951945729613,0.876268914001,0.912589334799,0.89295433928,0.917274939173,0.885093167702,0.833458364591,0.456585081585,0.913773796193,0.919088766693,0.83267054145,0.96511627907,0.883185840708,0.61073731427,0.639344262295,0.996483001172,0.95537525355,0.96986970684,0.682926829268,0.855734895015,0.822580645161,0.77734119188,0.867125984252,0.995374488525,0.943164362519,0.953301127214,0.943555260915,0.937216828479,0.722352941176,0.700041203131,0.808654496281,0.909478800972,0.993555316864,0.997286295794,0.984984984985,0.995269631031,0.660520607375,0.929054054054,0.941855099216,0.948126801153,0.879456706282,0.817519291226,0.969921836351,0.91843902439,0.693499194681,0.871739130435,0.698146828225,0.893009985735,0.930751173709,0.940695296524,0.991173225451,0.776918500892,0.905141843972,0.832764716829,0.941653160454,0.901180438449,0.99512195122,0.857142857143,0.787557603687,0.824773413897,0.850461893764,0.943861546782,0.963660133028,0.985320284698,0.87206728641,0.855716878403,0.904180732277,0.801972000602,0.903565821933,0.839775561097,1.0,0.83660573234,0.990361445783,0.913761837598,0.965789473684,0.95623987034,0.884773662551,0.817304027443,1.0,0.911214953271,0.888939880679,0.962732919255,0.86589545844,0.924077328647,0.832386363636,0.971643035863,0.547705002579,0.986175115207,0.992771628642,0.980654761905,0.812314285714,0.968882602546,0.921052631579,0.841563455043,0.864523762571,0.917372881356,0.79702970297,0.930307198533,0.92602739726,0.872716558633,0.915456238361,0.606116207951,0.879757308329,0.991769547325,0.953362255965,0.864644107351,0.893205691723,0.846207865169,0.944052145573,0.727042110604,0.949720670391,0.856766256591,0.942777777778,0.949340144742,0.967901234568,0.904440919905,0.976581904199,0.819471624266,0.892941176471,0.962532890974,0.924654979485,0.868128738251,0.880952380952,0.904805914972,0.895033860045,0.956469886702,0.837890625
Compression,2.492505353319058,3.60416666667,1.00701754386,1.08292682927,1.046875,1.52272727273,1.02150537634,1.57848837209,1.22170900693,1.01538461538,1.01775147929,1.29545454545,1.27375565611,1.0582010582,1.4,1.22826086957,1.1095890411,1.17896678967,1.05042016807,2.681640625,1.09967845659,1.04093567251,1.01547987616,1.02253521127,1.74045801527,2.60526315789,1.34697508897,1.27160493827,1.13725490196,2.26615969582,1.00578034682,1.1875,1.17567567568,1.08947368421,1.27272727273,1.12694300518,1.28571428571,1.05376344086,1.08403361345,1.68932038835,1.86046511628,1.14314516129,1.91904761905,1.09523809524,1.02586206897,1.18604651163,1.15434083601,1.10476190476,1.02083333333,1.05995203837,1.10138248848,1.25510204082,1.03676470588,2.08333333333,1.0,1.54807692308,1.0,1.07796610169,1.16783216783,1.26373626374,1.744,1.5790960452,2.24102564103,1.17948717949,1.22314049587,1.08333333333,1.06079027356,1.20682730924,1.45098039216,1.12345679012,1.27215189873,1.04867256637,2.09385113269,0.989583333333,1.1843575419,1.02222222222,2.29427792916,1.22222222222,1.21180555556,1.32142857143,1.43220338983,1.03053435115,1.83202099738,1.04054054054,1.57647058824,1.46415770609,1.09964412811,1.30769230769,1.10236220472,1.09259259259,1.26282051282,1.02692307692,1.87591240876,1.21590909091,2.36680327869,2.05240174672,1.43065693431,1.18881118881,1.2292358804,1.92797783934,1.08285714286,1.64746945899,1.30541871921,1.87323943662,1.10212765957,1.05737704918,1.1328125,0.993993993994,1.96178343949,1.08791208791,1.33678756477,1.4914893617,3.01342281879,1.00495049505,1.06338028169,1.825,1.18918918919,1.65702479339,1.63114754098,1.9593495935,1.01123595506,1.125,1.0,2.40663900415,1.17333333333,1.19090909091,1.2702020202,1.51834862385,1.08040201005,1.02586206897,1.07142857143,1.02793296089,1.2645631068,1.13541666667,2.13191489362,1.08013355593,1.48051948052,1.00266666667,1.31147540984,1.12328767123,1.03743315508,1.18309859155,1.20652173913,1.22660098522,1.0621761658,1.92,2.38781163435,1.0099009901,1.68421052632,2.82154882155,1.10833333333,1.44680851064,1.05925925926,2.17857142857,1.11475409836,1.01904761905,1.1564792176,1.01327433628,1.2731092437,1.02083333333,1.11227154047,1.13793103448,1.14545454545,1.23751891074,1.09195402299,1.37265917603,1.01388888889,1.33333333333,1.0,1.06093189964,2.37735849057,1.18062200957,1.38164251208,1.20792079208,1.08080808081,1.0,1.4748603352,1.0,1.13523131673,1.0,1.59429824561,3.45703125,1.75268817204,1.06097560976,2.44267515924,1.08743169399,1.07920792079,1.68897637795,1.06,1.21212121212,1.01459854015,1.46418338109,1.03947368421,1.0,1.11641221374,1.44651162791,1.06741573034,1.30769230769,1.0,1.18264840183,1.12637362637,1.40298507463,1.13253012048,1.25806451613,1.05604719764,1.06679389313,1.49367088608,1.04087591241,1.01851851852,1.0125,1.20853858785,1.15094339623,1.36036036036,1.16666666667,1.36038961039,1.0,1.17475728155,1.0243902439,1.0091954023,1.42477876106,1.15140186916,1.04131054131,1.88732394366,0.985714285714,1.06802721088,1.11660777385,1.04938271605,0.984375,1.93981481481,1.48507462687,1.2987012987,1.18421052632
Average Pairwise P-Distance,0.8130606152490001,0.69157746224,0.432541212615,0.566430042019,0.621300680491,0.696524216524,0.497570671228,0.794135093584,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.659930986623,0.774687089415,0.617725309167,0.546840027063,0.792211690466,0.676688133147,0.495801500542,0.428456546658,0.321474752932,0.674867493739,0.833790256979,0.616057231521,0.702234165326,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.625086429257,0.637616691285,0.584260852841,0.691226146996,0.596884675783,0.540818317462,0.821860771164,0.716374451362,0.497711728506,0.79972752457,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.587398776631,0.657316176233,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.510823974634,0.668656174774,0.482811077208,0.681785078547,0.769613204258,0.764631452933,0.603161530548,0.752259883792,0.768433957998,0.569407808577,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.78293039232,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.696780727804,0.500762969329,0.596915099147,0.779268400873,0.574178324287,0.746977090813,0.525398788857,0.81766256597,0.666263277859,0.740892471712,0.758537930133,0.479247852535,0.774494364128,0.673693334175,0.754471684433,0.626996005126,0.77068656165,0.71772579895,0.727523894863,0.606366499409,0.430848179354,0.649837334514,0.538145283908,0.770982314492,0.566509168581,0.675947544238,0.704938332975,0.840664276704,0.504595988489,0.666731476643,0.616818569791,0.550970474549,0.674273624704,0.79025447329,0.82207467081,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.626897815153,0.693596967243,0.738523872717,0.724893232418,0.309294555204,0.602234243589,0.527409429113,0.627654062381,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.625248137609,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.767170121195,0.370414183041,0.681020852739,0.775197984438,0.482047419162,0.844681223369,0.531445063548,0.853685100998,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.714180806012,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.67756519847,0.639874226527,0.724493600477,0.449245493499,0.683074151336,0.444054946113,0.612811388951,0.803647499156,0.606761775966,0.604876621126,0.683176330991,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.873053412914,0.750546612036,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.608732633005,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.666068076317,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.718225351685,0.378913108719,0.543412367113,0.70007997088,0.680548160854,0.718539924585,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.635460341645,0.381402188245,0.688783219691,0.578133444705,0.644853061068,0.594511260671,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.543162702647,0.729374418295
