Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BPMAP,0.80755897712,0.796719107499,0.802139042309,0.55592363025,0.80755897712,1.07757619747,0.634596338581,0.764573066743,7.2447257384,255.729957806,279.156118143,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.80755897712,0.796719107499,0.55592363025,1.07757619747,6.37037505517
BPPD,0.862885653552,0.8006997906,0.831792722076,0.583983044778,0.862885653552,1.23367544103,0.634596338581,0.764573066743,7.2447257384,255.729957806,324.17721519,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.862885653552,0.8006997906,0.583983044778,1.23367544103,6.37037505517
Clustal,0.816901185132,0.813438214187,0.81516969966,0.598837797728,0.816901185132,1.00453153214,0.634596338581,0.764573066743,7.2447257384,255.729957806,256.489451477,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.816901185132,0.813438214187,0.598837797728,1.00453153214,6.37037505517
DefaultContrAlign,0.8291710405,0.840246871111,0.834708955805,0.622568616897,0.8291710405,0.991883045844,0.634596338581,0.764573066743,7.2447257384,255.729957806,254.185654008,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.8291710405,0.840246871111,0.622568616897,0.991883045844,6.37037505517
DefaultProbCons,0.830753412751,0.833223812262,0.831988612506,0.61145029953,0.830753412751,1.01815842121,0.634596338581,0.764573066743,7.2447257384,255.729957806,262.970464135,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.830753412751,0.833223812262,0.61145029953,1.01815842121,6.37037505517
DiAlign,0.783543143931,0.757213882665,0.770378513298,0.509639135045,0.783543143931,1.08404602633,0.634596338581,0.764573066743,7.2447257384,255.729957806,281.210970464,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.783543143931,0.757213882665,0.509639135045,1.08404602633,6.37037505517
EINSI,0.82348642927,0.822135906724,0.822811167997,0.60412208997,0.82348642927,1.01361505268,0.634596338581,0.764573066743,7.2447257384,255.729957806,259.518987342,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.82348642927,0.822135906724,0.60412208997,1.01361505268,6.37037505517
GINSI,0.820823130592,0.822021049579,0.821422090086,0.59954293564,0.820823130592,1.0037627691,0.634596338581,0.764573066743,7.2447257384,255.729957806,256.789029536,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.820823130592,0.822021049579,0.59954293564,1.0037627691,6.37037505517
KAlign,0.794149591344,0.796866598986,0.795508095165,0.56428623092,0.794149591344,1.01032265719,0.634596338581,0.764573066743,7.2447257384,255.729957806,257.767932489,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.794149591344,0.796866598986,0.56428623092,1.01032265719,6.37037505517
LINSI,0.824122554249,0.823891800077,0.824007177163,0.608903053843,0.824122554249,1.00867474738,0.634596338581,0.764573066743,7.2447257384,255.729957806,258.210970464,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.824122554249,0.823891800077,0.608903053843,1.00867474738,6.37037505517
MAFFT,0.824376956078,0.824063551103,0.82422025359,0.609194913871,0.824376956078,1.00891538764,0.634596338581,0.764573066743,7.2447257384,255.729957806,258.097046414,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.824376956078,0.824063551103,0.609194913871,1.00891538764,6.37037505517
MAFFT-H-LargeDB,0.849803995205,0.854956644144,0.852380319674,0.657766848095,0.849803995205,0.996796380454,0.634584793261,0.764644127105,7.11304347826,254.117391304,253.326086957,229.556521739,0.0774127189446,0.165881462306,4.90724338622,2.69565217391,0.849803995205,0.854956644144,0.657766848095,0.996796380454,6.33455286651
MAFFT-Homologs,0.851478076091,0.856471924961,0.853975000526,0.658464347171,0.851478076091,0.997649244373,0.634596338581,0.764573066743,7.2447257384,255.729957806,255.502109705,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.851478076091,0.856471924961,0.658464347171,0.997649244373,6.37037505517
Muscle,0.813732974459,0.821647544772,0.817690259615,0.603108538691,0.813732974459,0.986690319192,0.634596338581,0.764573066743,7.2447257384,255.729957806,251.5907173,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.813732974459,0.821647544772,0.603108538691,0.986690319192,6.37037505517
Praline,0.77683857344,0.78162906594,0.77923381969,0.546609653427,0.77683857344,0.968260007735,0.634465316691,0.764713748899,7.25751072961,256.871244635,246.472103004,231.111587983,0.0772278211894,0.167091247096,4.90818478953,2.6974248927,0.77683857344,0.78162906594,0.546609653427,0.968260007735,6.36846140396
Prank,0.785327484777,0.769257955944,0.77729272036,0.535484993191,0.785327484777,1.08595450779,0.634596338581,0.764573066743,7.2447257384,255.729957806,280.696202532,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.785327484777,0.769257955944,0.535484993191,1.08595450779,6.37037505517
Prime,0.815192138311,0.822042182976,0.818617160643,0.594203165556,0.815192138311,0.999978002018,0.634596338581,0.764573066743,7.2447257384,255.729957806,255.751054852,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.815192138311,0.822042182976,0.594203165556,0.999978002018,6.37037505517
ProbAlign,0.838409479439,0.838470880565,0.838440180002,0.626555791621,0.838409479439,1.0272628959,0.634596338581,0.764573066743,7.2447257384,255.729957806,264.556962025,230.143459916,0.0776337802201,0.16742946708,4.89906893303,2.694092827,0.838409479439,0.838470880565,0.626555791621,1.0272628959,6.37037505517
