Statistics,BALBS324,BALBS213,BALBS032,BALBS346,BALBS348,BALBS126,BALBS284,BALBS046,BALBS246,BALBS290,BALBS363,BALBS373,BALBS234,BALBS314,BALBS182,BALBS029,BALBS002,BALBS343,BALBS372,BALBS116,BALBS098,BALBS255,BALBS179,BALBS049,BALBS165,BALBS015,BALBS086,BALBS004,BALBS240,BALBS117,BALBS105,BALBS109,BALBS065,BALBS067,BALBS297,BALBS171,BALBS060,BALBS261,BALBS338,BALBS136,BALBS238,BALBS082,BALBS295,BALBS048,BALBS145,BALBS173,BALBS066,BALBS057,BALBS281,BALBS249,BALBS052,BALBS175,BALBS114,BALBS339,BALBS311,BALBS181,BALBS358,BALBS013,BALBS316,BALBS263,BALBS251,BALBS146,BALBS283,BALBS217,BALBS125,BALBS159,BALBS134,BALBS239,BALBS122,BALBS270,BALBS258,BALBS056,BALBS304,BALBS058,BALBS045,BALBS130,BALBS166,BALBS078,BALBS250,BALBS167,BALBS218,BALBS081,BALBS332,BALBS359,BALBS235,BALBS209,BALBS021,BALBS170,BALBS351,BALBS152,BALBS208,BALBS026,BALBS242,BALBS087,BALBS101,BALBS230,BALBS199,BALBS335,BALBS286,BALBS150,BALBS256,BALBS039,BALBS194,BALBS207,BALBS309,BALBS121,BALBS051,BALBS379,BALBS298,BALBS355,BALBS095,BALBS092,BALBS096,BALBS228,BALBS308,BALBS042,BALBS186,BALBS275,BALBS254,BALBS111,BALBS028,BALBS378,BALBS024,BALBS102,BALBS185,BALBS262,BALBS106,BALBS212,BALBS020,BALBS198,BALBS055,BALBS302,BALBS077,BALBS135,BALBS202,BALBS075,BALBS331,BALBS139,BALBS280,BALBS183,BALBS030,BALBS206,BALBS010,BALBS368,BALBS140,BALBS340,BALBS089,BALBS248,BALBS369,BALBS044,BALBS307,BALBS342,BALBS204,BALBS127,BALBS272,BALBS273,BALBS356,BALBS007,BALBS123,BALBS108,BALBS036,BALBS231,BALBS306,BALBS168,BALBS299,BALBS061,BALBS225,BALBS151,BALBS008,BALBS099,BALBS312,BALBS236,BALBS112,BALBS100,BALBS153,BALBS245,BALBS113,BALBS259,BALBS079,BALBS294,BALBS163,BALBS033,BALBS157,BALBS303,BALBS380,BALBS053,BALBS223,BALBS360,BALBS059,BALBS054,BALBS184,BALBS104,BALBS376,BALBS160,BALBS035,BALBS037,BALBS334,BALBS317,BALBS361,BALBS017,BALBS162,BALBS071,BALBS009,BALBS178,BALBS144,BALBS149,BALBS327,BALBS172,BALBS070,BALBS068,BALBS005,BALBS072,BALBS276,BALBS003,BALBS247,BALBS318,BALBS192,BALBS137,BALBS326,BALBS367,BALBS216,BALBS014,BALBS094,BALBS375,BALBS271,BALBS190,BALBS088,BALBS138,BALBS371,BALBS188,BALBS252,BALBS011,BALBS264,BALBS291,BALBS287,BALBS337,BALBS352,BALBS241,BALBS191,BALBS222,BALBS296,BALBS097,BALBS063,BALBS266,BALBS350,BALBS289,BALBS305,BALBS265,BALBS083,BALBS006,BALBS349,BALBS016,BALBS080,BALBS257,BALBS377,BALBS205,BALBS115,BALBS023,BALBS128,BALBS158,BALBS196,BALBS224,BALBS025,BALBS040,BALBS260,BALBS164,BALBS197,BALBS345,BALBS038,BALBS064,BALBS253,BALBS118,BALBS232,BALBS103,BALBS143,BALBS132,BALBS267,BALBS091,BALBS370,BALBS187,BALBS274,BALBS365,BALBS357,BALBS022,BALBS313,BALBS221,BALBS148,BALBS120,BALBS041,BALBS200,BALBS364,BALBS210,BALBS147,BALBS322,BALBS031,BALBS034,BALBS214,BALBS142,BALBS110,BALBS047,BALBS237,BALBS043,BALBS243,BALBS073,BALBS336,BALBS129,BALBS050,BALBS277,BALBS131,BALBS090,BALBS027,BALBS366,BALBS325,BALBS018,BALBS176,BALBS133,BALBS119,BALBS244,BALBS155,BALBS341,BALBS269,BALBS288,BALBS069,BALBS229,BALBS001,BALBS012,BALBS354,BALBS315,BALBS279,BALBS227,BALBS062,BALBS226,BALBS233,BALBS374,BALBS211,BALBS074,BALBS333
1-SPFP,0.736968540795,0.622315202232,0.346778580866,0.912859651009,0.701860894813,0.703308351178,0.808157099698,0.875789745133,0.857197535117,0.891791456639,0.854383358098,0.816885926031,0.8314108252,0.85009738016,0.904562890021,0.434350132626,0.857749469214,0.655415430267,0.939742822967,0.89235737352,0.440971237306,0.939333407611,0.844818878839,0.864284618923,0.423398328691,0.769420807027,0.971978984238,0.734693877551,0.980233773639,0.885640337423,0.849591490488,0.905006418485,0.866470312973,0.808431822191,0.890643724074,0.8021875,0.818095238095,0.727016413251,0.847451411808,0.766020506248,0.95785915493,0.872299049265,0.817091867496,0.971098265896,0.625612561256,0.922116004926,0.912170555649,0.973179069156,0.85445368981,0.888263081395,0.924712612661,0.83635899515,0.845682375375,0.826177573989,0.91901349775,0.0402813299233,0.91405532975,0.89586447434,0.913770210107,0.868421052632,0.922731771693,0.848424470519,0.921080322694,0.842618950793,0.756315105892,0.848159561139,0.874649017248,0.934365611278,0.859907061781,0.842469209636,0.938909182517,0.889773491814,0.677237175799,0.744106593782,0.91265060241,0.807421018315,0.866778131802,0.871949180876,0.934278505347,0.842774566474,0.447401823147,0.728148148148,0.901551312649,0.637518537475,0.95510475557,0.65574838595,0.705068453248,0.691512066984,0.962055783661,0.879921612319,0.909527073338,0.0,0.960771517656,0.885445292621,0.961362963886,0.954156171285,0.576931353561,0.778554778555,0.763445831407,0.710548974199,0.902479338843,0.688448633967,0.856397385432,0.940401594987,0.791798107256,0.924669663534,0.723487824038,0.884275303644,0.827355190609,0.80031117923,0.685941084368,0.899701729966,0.680964138742,0.983639509884,0.863056333645,0.883116883117,0.733210671573,0.632702758126,0.914148351648,0.887928631168,0.456480425694,0.692938857706,0.372914349277,0.846254903915,0.781376518219,0.891919792286,0.834832089552,0.563794334682,0.706112505537,0.889240506329,0.809898762655,0.73923395137,0.870676044208,0.804769984917,0.876020331684,0.94239802225,0.708198855469,0.793107692308,0.915071740997,0.852853086468,0.529545454545,0.722266734649,0.416901408451,0.695789473684,0.669981916817,0.918234912395,0.889288171879,0.95148958608,0.849260914404,0.88275862069,0.849249908525,0.755555555556,0.770449257204,0.489548775772,0.636397017286,0.892040433053,0.668720528136,0.395027624309,0.920009864109,0.891605747416,0.496951219512,0.926287744227,0.853230924815,0.708235773185,0.813269619555,0.911585365854,0.854244119384,0.642798913043,0.64648065948,0.675785367911,0.984634780553,0.940983606557,0.8276714021,0.929613832244,0.836825769958,0.831511341897,0.997912317328,0.611374407583,0.882661996497,0.906933438986,0.770672213629,0.618367346939,0.874220678689,0.957050697707,0.925303286655,0.937564499484,0.460024106067,0.849398643452,0.853693181818,0.700581852493,0.827531697678,0.914566790594,0.915892049162,0.726232756365,0.516899386663,0.527659574468,0.904489304007,0.641436523807,0.893678650537,0.387643979058,0.845113489357,0.892601431981,1.0,0.355417185554,0.536622073579,0.612009237875,0.753389139936,0.859712230216,0.865201993293,0.833590932509,0.673948661933,0.737030716724,0.823471714564,0.587055606199,0.956959215097,0.511432641128,0.119047619048,0.681903963095,0.694883193039,0.825586799907,0.904436771463,0.0,0.806151355726,0.771097398266,0.905220049379,0.914372408213,0.736959913179,0.769774011299,0.811751131623,0.693853895737,0.840234429186,0.34234627126,0.69496097337,0.833478741348,0.726630260199,0.515983809681,0.546741011344,0.8706258869,0.37391604257,0.931115131724,0.804609174949,0.889823916272,0.925261584454,0.857679013811,0.681076713297,0.929514097181,0.781271978298,0.824987815473,0.840984930978,0.322131301143,0.868406713165,0.746842709529,0.65409753645,0.871171171171,0.81987463435,0.24012481924,0.97976534603,1.0,0.867223671841,0.933762941052,0.766708508098,0.920108227039,0.571207430341,0.841088407849,0.785078014184,0.822806273845,0.68404723779,0.541310541311,0.630835380835,0.80303030303,0.707955070011,0.854939618798,0.976802106312,0.850453118939,0.661596222325,0.620629750271,0.541522200155,0.525985844287,0.860585065435,0.785704639722,0.726977879815,0.982874899298,0.919847658617,0.608286252354,0.953836277875,0.898209857409,0.708420085157,0.802569931798,0.891557753444,0.660466158673,0.931818181818,0.555842987291,0.845399123643,0.88049917203,0.361029470172,0.32527980103,0.614379669813,0.83028831563,0.720511025551,0.90582882355,0.825304749895,0.908202242576,0.902295782168,0.874282067645,0.625400898012,0.851446718419,0.766659672053,0.486130090189,0.668143036971,0.755434647894,0.0,0.856686444546,0.912131523669,0.75366568915,0.535150968905,0.51871657754,0.835557976936,0.891509433962,0.824858757062,0.872158744358,0.793618691137,0.817777999601,0.79465648855,0.897058823529,0.831273764259,0.825,0.65163343076,0.843723436442,0.843668476345,0.96768723214,0.794908512331,0.955794069492,0.917640663224,0.820734908136,0.874186063917,0.858007871632,0.802971768202
1-SPFN,0.380411393559,0.439952672057,0.289139450492,0.841116558543,0.299605633803,0.616630213369,0.67678684377,0.764328582146,0.842271530651,0.828083361804,0.296239052035,0.70869993232,0.457073170732,0.594429556737,0.801677772892,0.400856793146,0.831275720165,0.379329262475,0.931732265955,0.847973404935,0.330372322339,0.822607398734,0.80723842948,0.851616802659,0.12628080864,0.755525606469,0.957887469796,0.594202898551,0.944510575955,0.834899692753,0.830846532207,0.724563206578,0.823147930232,0.715758238326,0.661644867493,0.569116505931,0.812677388836,0.486883808753,0.657281001138,0.67118192027,0.944345700955,0.806593406593,0.638819679196,0.703910614525,0.528470051533,0.761514990071,0.840313002598,0.801950162514,0.785651574062,0.855580347377,0.908772674234,0.693809167912,0.609861506728,0.772107518504,0.899673735726,0.0229341099381,0.748657646048,0.89765351972,0.825617501764,0.730211375674,0.837264998204,0.788005483208,0.840051183621,0.71496409734,0.631223245988,0.761885931559,0.790227107997,0.837060041408,0.822428817066,0.806303325165,0.862432025917,0.863156749701,0.451424106826,0.665241295052,0.903129657228,0.618956743003,0.781289542902,0.775728732897,0.901774324481,0.485838053982,0.319894395248,0.721467889908,0.866068016813,0.40840914059,0.910012674271,0.438420719151,0.679152637486,0.541806020067,0.95241432476,0.870054885606,0.886809790327,0.0,0.924440103258,0.86381690001,0.947783765526,0.953195772521,0.445274871284,0.698776549779,0.540534642662,0.645711356339,0.346886912325,0.563931422589,0.754698066672,0.929285111174,0.615411558669,0.879730430275,0.529006318208,0.803023618342,0.605177946746,0.704275146115,0.553147756636,0.861336379212,0.57237167197,0.953959078504,0.785775007084,0.863741339492,0.441209034544,0.56565679714,0.650696651186,0.835958005249,0.333611111111,0.622929666436,0.24497625137,0.772006678459,0.435602475428,0.811637108941,0.797558149898,0.364861742278,0.680928312095,0.748003549246,0.628272251309,0.496016135152,0.666739942845,0.771531857207,0.847192936215,0.930891330891,0.511313236144,0.442233126308,0.831145203689,0.784921600916,0.507625272331,0.546366190975,0.277673545966,0.488372093023,0.244837270775,0.852409638554,0.88772706457,0.895044888646,0.79399003696,0.783487544484,0.817541387813,0.52884836411,0.580551621822,0.250385159893,0.593686595874,0.866412725663,0.695633216333,0.32896832419,0.836458468546,0.886910732197,0.425032594524,0.8344,0.842441875479,0.556470964646,0.716599190283,0.679031037093,0.801551853422,0.591633839805,0.43574583274,0.530626603758,0.954476015888,0.89519650655,0.47652916074,0.889225140776,0.740537290146,0.756417428056,0.784525205158,0.336229365769,0.86301369863,0.809269603337,0.639785104938,0.568125,0.725476579048,0.872071477253,0.844845437066,0.774509803922,0.373938602221,0.759143816889,0.847672778561,0.580380406462,0.746368847833,0.834909283909,0.768417557368,0.585508469468,0.385724023761,0.506639427988,0.874581209031,0.608641025641,0.898501070664,0.190746084089,0.804613145224,0.890052356021,0.208421052632,0.249606436942,0.37089690245,0.52691205031,0.485256226739,0.422012948793,0.716759704011,0.758763531205,0.60668633235,0.620100502513,0.664904454718,0.35997764114,0.953510774939,0.270660583218,0.036210018105,0.474000655905,0.494336914347,0.595058626466,0.893167542623,0.0,0.696808045474,0.648570927582,0.870852812547,0.851855341764,0.628179925994,0.706227608812,0.79312039312,0.570303241548,0.827747600014,0.305804440982,0.505341791169,0.666728702368,0.460504885993,0.511065657599,0.360753070131,0.846226082874,0.280347247876,0.912945655936,0.480434331917,0.788803911735,0.919762258544,0.819692351315,0.549216045612,0.801396431342,0.701235458563,0.737516102144,0.811400684583,0.164786707142,0.776127398461,0.743853630646,0.616880037933,0.833789815378,0.731888923706,0.163446096462,0.827160493827,0.0545454545455,0.793271935323,0.889951671365,0.688827153702,0.90761379634,0.206606942889,0.736492471213,0.551187061823,0.737462006079,0.625820235007,0.338667803309,0.31934079602,0.573593073593,0.593702954966,0.787682644248,0.943339174656,0.804684372081,0.579718500933,0.525560867966,0.325384304207,0.319082377477,0.789644698736,0.610252030328,0.511355480365,0.98328228982,0.724107386209,0.587272727273,0.930413002641,0.875779213419,0.662538373827,0.710189801452,0.87547693375,0.553219448095,0.532644903398,0.486589736521,0.655126596294,0.84208721775,0.211542936933,0.310286392137,0.514153062753,0.764959176826,0.571250173442,0.875353918923,0.756958901997,0.897184127242,0.860342779569,0.872611464968,0.610902255639,0.673457996093,0.566545567321,0.433181126332,0.573882748679,0.63048087963,0.0,0.649593355252,0.795816510783,0.766020864382,0.244140625,0.308671439936,0.743295638126,0.75406504065,0.230769230769,0.672783162385,0.587101672584,0.66346776806,0.617144889732,0.48756660746,0.527601809955,0.101789019124,0.457682613102,0.637652439024,0.708656287709,0.963676000983,0.772656974946,0.860436932953,0.900026659557,0.769325394873,0.744043827239,0.826721120187,0.745071005101
SP-Score,0.558689967177,0.531133937144,0.317959015679,0.876988104776,0.500733264308,0.659969282273,0.742471971734,0.820059163639,0.849734532884,0.859937409222,0.575311205067,0.762792929176,0.644241997966,0.722263468448,0.853120331456,0.417603462886,0.84451259469,0.517372346371,0.935737544461,0.870165389228,0.385671779823,0.880970403173,0.82602865416,0.857950710791,0.274839568666,0.762473206748,0.964933227017,0.664448388051,0.962372174797,0.860270015088,0.840219011347,0.814784812531,0.844809121603,0.762095030258,0.776144295784,0.685652002965,0.815386313466,0.606950111002,0.752366206473,0.718601213259,0.951102427942,0.839446227929,0.727955773346,0.837504440211,0.577041306395,0.841815497499,0.876241779123,0.887564615835,0.820052631936,0.871921714386,0.916742643447,0.765084081531,0.727771941051,0.799142546247,0.909343616738,0.0316077199307,0.831356487899,0.89675899703,0.869693855936,0.799316214153,0.879998384948,0.818214976863,0.880565753158,0.778791524066,0.69376917594,0.805022746349,0.832438062623,0.885712826343,0.841167939424,0.824386267401,0.900670604217,0.876465120758,0.564330641312,0.704673944417,0.907890129819,0.713188880659,0.824033837352,0.823838956887,0.918026414914,0.664306310228,0.383648109197,0.724808019028,0.883809664731,0.522963839032,0.932558714921,0.547084552551,0.692110545367,0.616659043525,0.957235054211,0.874988248963,0.898168431832,0.0,0.942605810457,0.874631096315,0.954573364706,0.953675971903,0.511103112423,0.738665664167,0.651990237035,0.678130165269,0.624683125584,0.626190028278,0.805547726052,0.93484335308,0.703604832962,0.902200046904,0.626247071123,0.843649460993,0.716266568677,0.752293162673,0.619544420502,0.880519054589,0.626667905356,0.968799294194,0.824415670364,0.873429111304,0.587209853058,0.599179777633,0.782422501417,0.861943318209,0.395045768402,0.657934262071,0.308945300324,0.809130791187,0.608489496823,0.851778450614,0.816195119725,0.46432803848,0.693520408816,0.818622027787,0.719085506982,0.617625043261,0.768707993526,0.788150921062,0.86160663395,0.936644676571,0.609756045806,0.617670409308,0.873108472343,0.818887343692,0.518585363438,0.634316462812,0.347287477208,0.592080783354,0.457409593796,0.885322275474,0.888507618224,0.923267237363,0.821625475682,0.833123082587,0.833395648169,0.642201959833,0.675500439513,0.369966967833,0.61504180658,0.879226579358,0.682176872235,0.36199797425,0.878234166327,0.889258239806,0.460991907018,0.880343872114,0.847836400147,0.632353368916,0.764934404919,0.795308201473,0.827897986403,0.617216376424,0.54111324611,0.603205985834,0.96955539822,0.918090056554,0.65210028142,0.90941948651,0.788681530052,0.793964384977,0.891218761243,0.473801886676,0.872837847564,0.858101521162,0.705228659284,0.593246173469,0.799848628869,0.91456108748,0.88507436186,0.856037151703,0.416981354144,0.80427123017,0.85068298019,0.640481129477,0.786950272756,0.874738037251,0.842154803265,0.655870612916,0.451311705212,0.517149501228,0.889535256519,0.625038774724,0.8960898606,0.289195031573,0.824863317291,0.891326894001,0.604210526316,0.302511811248,0.453759488014,0.569460644093,0.619322683338,0.640862589505,0.790980848652,0.796177231857,0.640317497142,0.678565609618,0.744188084641,0.47351662367,0.955234995018,0.391046612173,0.0776288185763,0.5779523095,0.594610053693,0.710322713186,0.898802157043,0.0,0.7514797006,0.709834162924,0.888036430963,0.883113874988,0.682569919587,0.738000810056,0.802435762372,0.632078568642,0.8339910146,0.324075356121,0.60015138227,0.750103721858,0.593567573096,0.51352473364,0.453747040737,0.858425984887,0.327131645223,0.92203039383,0.642521753433,0.839313914004,0.922511921499,0.838685682563,0.615146379455,0.865455264261,0.74125371843,0.781251958809,0.82619280778,0.243459004142,0.822267055813,0.745348170088,0.635488787192,0.852480493275,0.775881779028,0.201785457851,0.903462919928,0.527272727273,0.830247803582,0.911857306209,0.7277678309,0.913861011689,0.388907186615,0.788790439531,0.668132538004,0.780134139962,0.654933736399,0.43998917231,0.475088088428,0.688311688312,0.650829012488,0.821311131523,0.960070640484,0.82756874551,0.620657361629,0.573095309119,0.433453252181,0.422534110882,0.825114882085,0.697978335025,0.61916668009,0.983078594559,0.821977522413,0.597779489813,0.942124640258,0.886994535414,0.685479229492,0.756379866625,0.883517343597,0.606842803384,0.732231542608,0.521216361906,0.750262859968,0.86129319489,0.286286203553,0.317783096584,0.564266366283,0.797623746228,0.645880599497,0.890591371237,0.791131825946,0.902693184909,0.881319280868,0.873446766307,0.618151576825,0.762452357256,0.666602619687,0.45965560826,0.621012892825,0.692957763762,0.0,0.753139899899,0.853974017226,0.759843276766,0.389645796952,0.413694008738,0.789426807531,0.822787237306,0.527813993916,0.772470953372,0.690360181861,0.74062288383,0.705900689141,0.692312715495,0.679437787107,0.463394509562,0.554658021931,0.740687937733,0.776162382027,0.965681616561,0.783782743638,0.908115501223,0.908833661391,0.795030151505,0.809114945578,0.842364495909,0.774021386652
TC,0.106719367589,0.030303030303,0.0,0.456323337679,0.0686274509804,0.208506224066,0.39146567718,0.501798561151,0.454545454545,0.47322970639,0.138947368421,0.308724832215,0.29,0.275061124694,0.232114467409,0.0,0.704545454545,0.0942528735632,0.729838709677,0.228571428571,0.0,0.528551532033,0.426865671642,0.532981530343,0.19741480611,0.501754385965,0.840909090909,0.374233128834,0.348739495798,0.378839590444,0.346534653465,0.591611479029,0.472413793103,0.274111675127,0.136208853575,0.00225733634312,0.592592592593,0.356209150327,0.366013071895,0.306796116505,0.738461538462,0.313684210526,0.107066381156,0.34693877551,0.109677419355,0.423588039867,0.435,0.716545012165,0.509943181818,0.436708860759,0.712987012987,0.174927113703,0.0334728033473,0.5725,0.593457943925,0.0,0.184210526316,0.770025839793,0.457364341085,0.294205052006,0.570552147239,0.234482758621,0.633603238866,0.255474452555,0.227959697733,0.334155363748,0.429608127721,0.520467836257,0.101952277657,0.43949930459,0.572916666667,0.633009708738,0.046686746988,0.445145018916,0.823529411765,0.387871853547,0.348914858097,0.343137254902,0.345945945946,0.0114613180516,0.0470890410959,0.544747081712,0.703296703297,0.0165794066318,0.565420560748,0.062832800852,0.258687258687,0.00694444444444,0.622641509434,0.267932489451,0.553664921466,0.0,0.634020618557,0.628148148148,0.729106628242,0.838028169014,0.400981996727,0.334251606979,0.175226586103,0.150918635171,0.221649484536,0.181992337165,0.146017699115,0.74053030303,0.245454545455,0.349315068493,0.361271676301,0.413793103448,0.214435146444,0.244230769231,0.178832116788,0.435714285714,0.136531365314,0.665158371041,0.579881656805,0.516483516484,0.212510711225,0.0204460966543,0.354925775978,0.337164750958,0.108870967742,0.297872340426,0.0184210526316,0.0442477876106,0.215722120658,0.457661290323,0.201520912548,0.00153139356815,0.187654320988,0.485714285714,0.629746835443,0.0711513583441,0.285340314136,0.508474576271,0.2109375,0.753191489362,0.149929278642,0.504992867332,0.268072289157,0.552380952381,0.336842105263,0.213687150838,0.00952380952381,0.0700757575758,0.00728597449909,0.572390572391,0.530303030303,0.311557788945,0.250980392157,0.333333333333,0.62037037037,0.181578947368,0.198639455782,0.0152542372881,0.0401647785788,0.47131147541,0.00526315789474,0.0890410958904,0.429924242424,0.719907407407,0.212121212121,0.4125,0.35,0.177852348993,0.263636363636,0.387308533917,0.429787234043,0.164705882353,0.26906779661,0.00675675675676,0.82874617737,0.366141732283,0.0211267605634,0.440890125174,0.306784660767,0.247524752475,0.154362416107,0.0416197975253,0.610738255034,0.251785714286,0.183035714286,0.131386861314,0.384615384615,0.496587030717,0.4375,0.297297297297,0.0331753554502,0.247264770241,0.716535433071,0.123042505593,0.26582278481,0.151515151515,0.461705202312,0.190476190476,0.00846023688663,0.102173913043,0.656108597285,0.252083333333,0.493506493506,0.00696864111498,0.352011494253,0.6,0.0541125541126,0.0,0.0,0.0168067226891,0.0544041450777,0.0502958579882,0.470703125,0.474860335196,0.352941176471,0.245641838352,0.0973214285714,0.0,0.683098591549,0.00863557858377,0.0,0.142999006951,0.106598984772,0.299492385787,0.56836461126,0.0,0.0102301790281,0.320540156361,0.62962962963,0.213523131673,0.133620689655,0.313725490196,0.42970521542,0.0753205128205,0.391025641026,0.11067961165,0.168402777778,0.284615384615,0.0969637610186,0.03125,0.0176056338028,0.276729559748,0.0,0.591160220994,0.100486223663,0.0743801652893,0.810699588477,0.454798331015,0.0137130801688,0.474187380497,0.190207156309,0.151515151515,0.506686478455,0.0,0.257344300823,0.579113924051,0.317829457364,0.62091503268,0.277008310249,0.0,0.117647058824,0.0,0.3,0.658671586716,0.0015243902439,0.502304147465,0.122009569378,0.402852049911,0.119047619048,0.193069306931,0.335861321777,0.0685975609756,0.132653061224,0.279816513761,0.0966542750929,0.451292246521,0.646739130435,0.378048780488,0.127659574468,0.193359375,0.0556506849315,0.0,0.458174904943,0.179487179487,0.0765815760266,0.851851851852,0.320366132723,0.296610169492,0.711237553343,0.544642857143,0.313035204567,0.0916398713826,0.731481481481,0.186234817814,0.190322580645,0.0,0.075,0.451499118166,0.0,0.0185185185185,0.0858951175407,0.204724409449,0.202508960573,0.43275862069,0.19465648855,0.541353383459,0.552325581395,0.740072202166,0.0,0.416498993964,0.329011345219,0.117318435754,0.0582524271845,0.228571428571,0.0,0.291759465479,0.441055234955,0.588461538462,0.0307234886026,0.00884955752212,0.0416666666667,0.263959390863,0.109965635739,0.283314669653,0.144375553587,0.201117318436,0.340950639854,0.254658385093,0.223819301848,0.057268722467,0.093399750934,0.221201413428,0.238683127572,0.712328767123,0.545691906005,0.371179039301,0.699481865285,0.38622754491,0.385572139303,0.515789473684,0.317154811715
Modeler,0.736968540795,0.622315202232,0.346778580866,0.912859651009,0.701860894813,0.703308351178,0.808157099698,0.875789745133,0.857197535117,0.891791456639,0.854383358098,0.816885926031,0.8314108252,0.85009738016,0.904562890021,0.434350132626,0.857749469214,0.655415430267,0.939742822967,0.89235737352,0.440971237306,0.939333407611,0.844818878839,0.864284618923,0.423398328691,0.769420807027,0.971978984238,0.734693877551,0.980233773639,0.885640337423,0.849591490488,0.905006418485,0.866470312973,0.808431822191,0.890643724074,0.8021875,0.818095238095,0.727016413251,0.847451411808,0.766020506248,0.95785915493,0.872299049265,0.817091867496,0.971098265896,0.625612561256,0.922116004926,0.912170555649,0.973179069156,0.85445368981,0.888263081395,0.924712612661,0.83635899515,0.845682375375,0.826177573989,0.91901349775,0.0402813299233,0.91405532975,0.89586447434,0.913770210107,0.868421052632,0.922731771693,0.848424470519,0.921080322694,0.842618950793,0.756315105892,0.848159561139,0.874649017248,0.934365611278,0.859907061781,0.842469209636,0.938909182517,0.889773491814,0.677237175799,0.744106593782,0.91265060241,0.807421018315,0.866778131802,0.871949180876,0.934278505347,0.842774566474,0.447401823147,0.728148148148,0.901551312649,0.637518537475,0.95510475557,0.65574838595,0.705068453248,0.691512066984,0.962055783661,0.879921612319,0.909527073338,0.0,0.960771517656,0.885445292621,0.961362963886,0.954156171285,0.576931353561,0.778554778555,0.763445831407,0.710548974199,0.902479338843,0.688448633967,0.856397385432,0.940401594987,0.791798107256,0.924669663534,0.723487824038,0.884275303644,0.827355190609,0.80031117923,0.685941084368,0.899701729966,0.680964138742,0.983639509884,0.863056333645,0.883116883117,0.733210671573,0.632702758126,0.914148351648,0.887928631168,0.456480425694,0.692938857706,0.372914349277,0.846254903915,0.781376518219,0.891919792286,0.834832089552,0.563794334682,0.706112505537,0.889240506329,0.809898762655,0.73923395137,0.870676044208,0.804769984917,0.876020331684,0.94239802225,0.708198855469,0.793107692308,0.915071740997,0.852853086468,0.529545454545,0.722266734649,0.416901408451,0.695789473684,0.669981916817,0.918234912395,0.889288171879,0.95148958608,0.849260914404,0.88275862069,0.849249908525,0.755555555556,0.770449257204,0.489548775772,0.636397017286,0.892040433053,0.668720528136,0.395027624309,0.920009864109,0.891605747416,0.496951219512,0.926287744227,0.853230924815,0.708235773185,0.813269619555,0.911585365854,0.854244119384,0.642798913043,0.64648065948,0.675785367911,0.984634780553,0.940983606557,0.8276714021,0.929613832244,0.836825769958,0.831511341897,0.997912317328,0.611374407583,0.882661996497,0.906933438986,0.770672213629,0.618367346939,0.874220678689,0.957050697707,0.925303286655,0.937564499484,0.460024106067,0.849398643452,0.853693181818,0.700581852493,0.827531697678,0.914566790594,0.915892049162,0.726232756365,0.516899386663,0.527659574468,0.904489304007,0.641436523807,0.893678650537,0.387643979058,0.845113489357,0.892601431981,1.0,0.355417185554,0.536622073579,0.612009237875,0.753389139936,0.859712230216,0.865201993293,0.833590932509,0.673948661933,0.737030716724,0.823471714564,0.587055606199,0.956959215097,0.511432641128,0.119047619048,0.681903963095,0.694883193039,0.825586799907,0.904436771463,0.0,0.806151355726,0.771097398266,0.905220049379,0.914372408213,0.736959913179,0.769774011299,0.811751131623,0.693853895737,0.840234429186,0.34234627126,0.69496097337,0.833478741348,0.726630260199,0.515983809681,0.546741011344,0.8706258869,0.37391604257,0.931115131724,0.804609174949,0.889823916272,0.925261584454,0.857679013811,0.681076713297,0.929514097181,0.781271978298,0.824987815473,0.840984930978,0.322131301143,0.868406713165,0.746842709529,0.65409753645,0.871171171171,0.81987463435,0.24012481924,0.97976534603,1.0,0.867223671841,0.933762941052,0.766708508098,0.920108227039,0.571207430341,0.841088407849,0.785078014184,0.822806273845,0.68404723779,0.541310541311,0.630835380835,0.80303030303,0.707955070011,0.854939618798,0.976802106312,0.850453118939,0.661596222325,0.620629750271,0.541522200155,0.525985844287,0.860585065435,0.785704639722,0.726977879815,0.982874899298,0.919847658617,0.608286252354,0.953836277875,0.898209857409,0.708420085157,0.802569931798,0.891557753444,0.660466158673,0.931818181818,0.555842987291,0.845399123643,0.88049917203,0.361029470172,0.32527980103,0.614379669813,0.83028831563,0.720511025551,0.90582882355,0.825304749895,0.908202242576,0.902295782168,0.874282067645,0.625400898012,0.851446718419,0.766659672053,0.486130090189,0.668143036971,0.755434647894,0.0,0.856686444546,0.912131523669,0.75366568915,0.535150968905,0.51871657754,0.835557976936,0.891509433962,0.824858757062,0.872158744358,0.793618691137,0.817777999601,0.79465648855,0.897058823529,0.831273764259,0.825,0.65163343076,0.843723436442,0.843668476345,0.96768723214,0.794908512331,0.955794069492,0.917640663224,0.820734908136,0.874186063917,0.858007871632,0.802971768202
